"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_9AZ81_P1.JPG",0.0003986,191.412,120.496,229.634,-86.214,0.403,"C1","H"
"2","10","OFAV_SS_9AZ81_P1.JPG",0.0002139,165.248,1.037,211.927,2.353,0.216,"C2","CW"
"3","11","OFAV_SS_9AZ81_P1.JPG",0.067,180.56,0,232,0,0,"C2","A"
"4","12","OFAV_SS_9AZ81_P1.JPG",0.045,160.966,0,226,0,0,"C2","CA"
"5","13","OFAV_SS_9AZ81_P1.JPG",0.0003607,163.522,0.138,219.667,-93.721,0.365,"C3","H"
"6","14","OFAV_SS_9AZ81_P1.JPG",0.0002674,172.385,98.376,208.522,-102.665,0.27,"C3","CH"
"7","15","OFAV_SS_9AZ81_P1.JPG",0.0003529,174.136,0.281,206.396,6.654,0.357,"C3","W"
"8","16","OFAV_SS_9AZ81_P1.JPG",0.0002314,157.088,1.667,204.626,9.462,0.234,"C3","CW"
"9","17","OFAV_SS_9AZ81_P1.JPG",0.104,174.329,0,233,0,0,"C3","A"
"10","18","OFAV_SS_9AZ81_P1.JPG",0.047,155.162,0,214,0,0,"C3","CA"
"11","19","OFAV_SS_9AZ81_P1.JPG",0.0003627,138.023,0,217.69,-98.348,0.367,"C4","H"
"12","2","OFAV_SS_9AZ81_P1.JPG",0.0002324,164.684,120.951,199.613,-106.837,0.235,"C1","CH"
"13","20","OFAV_SS_9AZ81_P1.JPG",0.0002664,160.718,81.165,214.965,-104.85,0.269,"C4","CH"
"14","21","OFAV_SS_9AZ81_P1.JPG",0.0004414,161.493,0.205,206.907,8.13,0.446,"C4","W"
"15","22","OFAV_SS_9AZ81_P1.JPG",0.0002761,147.978,0.303,204.667,10.595,0.279,"C4","CW"
"16","23","OFAV_SS_9AZ81_P1.JPG",0.117,173.238,0,237,0,0,"C4","A"
"17","24","OFAV_SS_9AZ81_P1.JPG",0.06,158.728,0,215,0,0,"C4","CA"
"18","25","OFAV_SS_9AZ81_P1.JPG",0.0003199,173.963,0,216.823,-91.572,0.324,"C5","H"
"19","26","OFAV_SS_9AZ81_P1.JPG",0.0002411,159.07,0.156,204.667,-97.211,0.244,"C5","CH"
"20","27","OFAV_SS_9AZ81_P1.JPG",0.0004064,168.916,0.218,210.843,3.027,0.411,"C5","W"
"21","28","OFAV_SS_9AZ81_P1.JPG",0.0002402,185.479,1.079,209,2.56,0.243,"C5","CW"
"22","29","OFAV_SS_9AZ81_P1.JPG",0.108,187.46,0,239,0,0,"C5","A"
"23","3","OFAV_SS_9AZ81_P1.JPG",0.0003442,186.782,0.058,217.943,9.302,0.348,"C1","W"
"24","30","OFAV_SS_9AZ81_P1.JPG",0.051,172.842,0,223,0,0,"C5","CA"
"25","4","OFAV_SS_9AZ81_P1.JPG",0.0002081,152.739,0,210.333,3.225,0.21,"C1","CW"
"26","5","OFAV_SS_9AZ81_P1.JPG",0.145,199.562,0,236,0,0,"C1","A"
"27","6","OFAV_SS_9AZ81_P1.JPG",0.048,174.518,0,229,0,0,"C1","CA"
"28","7","OFAV_SS_9AZ81_P1.JPG",0.0003063,179.681,31.573,221.532,-96.582,0.31,"C2","H"
"29","8","OFAV_SS_9AZ81_P1.JPG",0.0002324,150.289,0.049,210.6,-103.861,0.235,"C2","CH"
"30","9","OFAV_SS_9AZ81_P1.JPG",0.0002985,176.142,1.814,227.931,2.806,0.302,"C2","W"
