"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_9DW37_P1",0.0002728,146.14,71.007,186.861,-67.485,0.371,"C1","H"
"2","10",10,"OFAV_SS_9DW37_P1",0.0001675,84.948,2.906,156.488,7.765,0.228,"C2","CW"
"3","11",11,"OFAV_SS_9DW37_P1",0.085,124.117,0,194,0,0,"C2","A"
"4","12",12,"OFAV_SS_9DW37_P1",0.051,110.305,0,194,0,0,"C2","CA"
"5","13",13,"OFAV_SS_9DW37_P1",0.0002599,153.18,0.534,211.355,-102.426,0.354,"C3","H"
"6","14",14,"OFAV_SS_9DW37_P1",0.0001584,123.955,0.231,218.427,-99.782,0.216,"C3","CH"
"7","15",15,"OFAV_SS_9DW37_P1",0.0002395,147.28,59.938,214.073,3.608,0.326,"C3","W"
"8","16",16,"OFAV_SS_9DW37_P1",0.0001595,126.849,0.514,196.881,5.826,0.217,"C3","CW"
"9","17",17,"OFAV_SS_9DW37_P1",0.085,158.611,0,229,0,0,"C3","A"
"10","18",18,"OFAV_SS_9DW37_P1",0.046,143.276,0,229,0,0,"C3","CA"
"11","19",19,"OFAV_SS_9DW37_P1",0.0002497,123.939,62.279,165.841,-88.765,0.34,"C4","H"
"12","2",2,"OFAV_SS_9DW37_P1",0.0001788,117.042,0.196,169.831,-105.709,0.244,"C1","CH"
"13","20",20,"OFAV_SS_9DW37_P1",0.0001734,76.171,0.333,134.232,-88.933,0.236,"C4","CH"
"14","21",21,"OFAV_SS_9DW37_P1",0.0002411,115.868,35.254,159.557,25.65,0.328,"C4","W"
"15","22",22,"OFAV_SS_9DW37_P1",0.0001498,87.447,0.349,144.24,17.133,0.204,"C4","CW"
"16","23",23,"OFAV_SS_9DW37_P1",0.082,120.377,0,188,0,0,"C4","A"
"17","24",24,"OFAV_SS_9DW37_P1",0.049,107.69,0,188,0,0,"C4","CA"
"18","25",25,"OFAV_SS_9DW37_P1",0.0003028,128.745,56.862,172.047,-105.666,0.412,"C5","H"
"19","26",26,"OFAV_SS_9DW37_P1",0.0001783,84.685,0.353,181.697,-105.043,0.243,"C5","CH"
"20","27",27,"OFAV_SS_9DW37_P1",0.0002373,125.617,0.233,183,6.771,0.323,"C5","W"
"21","28",28,"OFAV_SS_9DW37_P1",0.0001627,110.399,0.458,173.319,19.756,0.221,"C5","CW"
"22","29",29,"OFAV_SS_9DW37_P1",0.108,138.162,0,204,0,0,"C5","A"
"23","3",3,"OFAV_SS_9DW37_P1",0.0002577,135.841,0.202,186.779,9.856,0.351,"C1","W"
"24","30",30,"OFAV_SS_9DW37_P1",0.047,123.041,0,199,0,0,"C5","CA"
"25","4",4,"OFAV_SS_9DW37_P1",0.0001643,113.624,0.354,176.726,8.289,0.224,"C1","CW"
"26","5",5,"OFAV_SS_9DW37_P1",0.11,154.909,0,224,0,0,"C1","A"
"27","6",6,"OFAV_SS_9DW37_P1",0.047,133.514,0,215,0,0,"C1","CA"
"28","7",7,"OFAV_SS_9DW37_P1",0.0002545,126.543,0.623,179.799,-102.213,0.346,"C2","H"
"29","8",8,"OFAV_SS_9DW37_P1",0.000174,89.157,1.454,142.782,-106.189,0.237,"C2","CH"
"30","9",9,"OFAV_SS_9DW37_P1",0.0002368,117.12,0.333,166.901,10.748,0.322,"C2","W"
