"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_9DW37_P2.JPG",0.0004449,200.722,144.061,228.201,-100.981,0.427,"C1","H"
"2","10","OFAV_SS_9DW37_P2.JPG",0.0001682,189.357,1.857,211.801,4.456,0.161,"C2","CW"
"3","11","OFAV_SS_9DW37_P2.JPG",0.06,201.23,0,224,0,0,"C2","A"
"4","12","OFAV_SS_9DW37_P2.JPG",0.021,189.775,0,222,0,0,"C2","CA"
"5","13","OFAV_SS_9DW37_P2.JPG",0.0003353,203.329,0.143,226.733,-108.553,0.321,"C3","H"
"6","14","OFAV_SS_9DW37_P2.JPG",0.0002203,184.67,111.526,232.318,-115.805,0.211,"C3","CH"
"7","15","OFAV_SS_9DW37_P2.JPG",0.0003635,202.175,0.104,226.493,0.343,0.348,"C3","W"
"8","16","OFAV_SS_9DW37_P2.JPG",0.0002658,177.114,0.311,221.643,7.997,0.255,"C3","CW"
"9","17","OFAV_SS_9DW37_P2.JPG",0.104,205.062,0,237,0,0,"C3","A"
"10","18","OFAV_SS_9DW37_P2.JPG",0.046,194.484,0,237,0,0,"C3","CA"
"11","19","OFAV_SS_9DW37_P2.JPG",0.0002702,190.81,0.484,227,-91.848,0.258,"C4","H"
"12","2","OFAV_SS_9DW37_P2.JPG",0.0002615,190.821,124.331,213.291,-108.208,0.25,"C1","CH"
"13","20","OFAV_SS_9DW37_P2.JPG",0.0002127,187.106,0.244,216.829,-94.715,0.203,"C4","CH"
"14","21","OFAV_SS_9DW37_P2.JPG",0.0002528,185.947,0,208.264,2.961,0.242,"C4","W"
"15","22","OFAV_SS_9DW37_P2.JPG",0.0001834,181.438,0,221.667,0,0.175,"C4","CW"
"16","23","OFAV_SS_9DW37_P2.JPG",0.066,194.758,0,232,0,0,"C4","A"
"17","24","OFAV_SS_9DW37_P2.JPG",0.028,188.661,0,232,0,0,"C4","CA"
"18","25","OFAV_SS_9DW37_P2.JPG",0.0004459,179.474,0.093,214.353,-98.704,0.427,"C5","H"
"19","26","OFAV_SS_9DW37_P2.JPG",0.000242,167.776,108.251,206.072,-100.098,0.232,"C5","CH"
"20","27","OFAV_SS_9DW37_P2.JPG",0.0003971,186.176,0,216.333,0.942,0.38,"C5","W"
"21","28","OFAV_SS_9DW37_P2.JPG",0.0002235,159.418,0.634,198.667,-1.118,0.214,"C5","CW"
"22","29","OFAV_SS_9DW37_P2.JPG",0.114,184.22,0,219,0,0,"C5","A"
"23","3","OFAV_SS_9DW37_P2.JPG",0.0004926,203.115,146.585,226.594,-0.379,0.472,"C1","W"
"24","30","OFAV_SS_9DW37_P2.JPG",0.045,171.222,0,217,0,0,"C5","CA"
"25","4","OFAV_SS_9DW37_P2.JPG",0.0002908,178.774,0,222.447,11.689,0.278,"C1","CW"
"26","5","OFAV_SS_9DW37_P2.JPG",0.149,202.765,0,235,0,0,"C1","A"
"27","6","OFAV_SS_9DW37_P2.JPG",0.058,187.921,0,233,0,0,"C1","CA"
"28","7","OFAV_SS_9DW37_P2.JPG",0.000255,182.005,0.054,218.201,-100.349,0.244,"C2","H"
"29","8","OFAV_SS_9DW37_P2.JPG",0.0001845,198.526,173.438,215.47,-103.707,0.176,"C2","CH"
"30","9","OFAV_SS_9DW37_P2.JPG",0.0002355,198.403,0.302,217.975,3.708,0.225,"C2","W"
