"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_9EV2_P1.JPG",0.0004403,171.108,132.498,198.333,-92.411,0.409,"C1","H"
"2","10","OFAV_SS_9EV2_P1.JPG",0.0002046,175.512,119.5,206.553,3.9,0.19,"C2","CW"
"3","11","OFAV_SS_9EV2_P1.JPG",0.108,188.445,0,232,0,0,"C2","A"
"4","12","OFAV_SS_9EV2_P1.JPG",0.039,171.738,0,220,0,0,"C2","CA"
"5","13","OFAV_SS_9EV2_P1.JPG",0.0003571,169.543,1.127,203.744,-80.66,0.331,"C3","H"
"6","14","OFAV_SS_9EV2_P1.JPG",0.0002196,169.528,104.526,202.226,-85.135,0.203,"C3","CH"
"7","15","OFAV_SS_9EV2_P1.JPG",0.0003167,168.878,0.622,200.679,5.042,0.294,"C3","W"
"8","16","OFAV_SS_9EV2_P1.JPG",0.000193,165.953,114.104,197.402,2.759,0.179,"C3","CW"
"9","17","OFAV_SS_9EV2_P1.JPG",0.062,173.159,0,212,0,0,"C3","A"
"10","18","OFAV_SS_9EV2_P1.JPG",0.032,157.292,0,206,0,0,"C3","CA"
"11","19","OFAV_SS_9EV2_P1.JPG",0.0003987,135.817,0.578,200.333,-89.334,0.37,"C4","H"
"12","2","OFAV_SS_9EV2_P1.JPG",0.0002381,146.796,0.246,199.791,-108.789,0.22,"C1","CH"
"13","20","OFAV_SS_9EV2_P1.JPG",0.0002508,133.819,0.765,186.667,-92.121,0.232,"C4","CH"
"14","21","OFAV_SS_9EV2_P1.JPG",0.0002993,161.861,0.171,190.432,10.701,0.278,"C4","W"
"15","22","OFAV_SS_9EV2_P1.JPG",0.0001953,145.36,0.286,189.381,4.086,0.181,"C4","CW"
"16","23","OFAV_SS_9EV2_P1.JPG",0.088,171.392,0,208,0,0,"C4","A"
"17","24","OFAV_SS_9EV2_P1.JPG",0.038,154.941,0,199,0,0,"C4","CA"
"18","25","OFAV_SS_9EV2_P1.JPG",0.0003675,156.999,0.296,198.864,-99.254,0.341,"C5","H"
"19","26","OFAV_SS_9EV2_P1.JPG",0.000245,178.356,114.241,206.79,-96.52,0.227,"C5","CH"
"20","27","OFAV_SS_9EV2_P1.JPG",0.0003074,183.696,0.236,205.708,1.729,0.285,"C5","W"
"21","28","OFAV_SS_9EV2_P1.JPG",0.0002173,139.583,0,210.333,0,0.201,"C5","CW"
"22","29","OFAV_SS_9EV2_P1.JPG",0.095,185.267,0,232,0,0,"C5","A"
"23","3","OFAV_SS_9EV2_P1.JPG",0.000393,158.398,0.655,198.457,3.386,0.364,"C1","W"
"24","30","OFAV_SS_9EV2_P1.JPG",0.036,163.694,0,216,0,0,"C5","CA"
"25","4","OFAV_SS_9EV2_P1.JPG",0.0002196,155.632,110.595,189.201,4.259,0.203,"C1","CW"
"26","5","OFAV_SS_9EV2_P1.JPG",0.102,172.119,0,222,0,0,"C1","A"
"27","6","OFAV_SS_9EV2_P1.JPG",0.045,157.315,0,222,0,0,"C1","CA"
"28","7","OFAV_SS_9EV2_P1.JPG",0.0004508,175.654,0.069,212.429,-97.088,0.418,"C2","H"
"29","8","OFAV_SS_9EV2_P1.JPG",0.0002323,161.462,1.987,203,-92.291,0.215,"C2","CH"
"30","9","OFAV_SS_9EV2_P1.JPG",0.0003282,187.579,1.812,211.069,4.461,0.304,"C2","W"
