"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SS_9EV41.JPG",0.0004643,172.815,0.027,218.26,-100.38,0.436,"C1","H"
"2","10","OFAV_SS_9EV41.JPG",0.0002569,175.907,2.961,211.388,6.062,0.241,"C2","CW"
"3","11","OFAV_SS_9EV41.JPG",0.134,188.372,0,236,0,0,"C2","A"
"4","12","OFAV_SS_9EV41.JPG",0.062,172.594,0,232,0,0,"C2","CA"
"5","13","OFAV_SS_9EV41.JPG",0.0004282,175.907,100.124,210.893,-86.669,0.402,"C3","H"
"6","14","OFAV_SS_9EV41.JPG",0.0003009,148.383,81.763,207.773,-76.068,0.282,"C3","CH"
"7","15","OFAV_SS_9EV41.JPG",0.0005387,175.013,0.424,216.986,3.126,0.506,"C3","W"
"8","16","OFAV_SS_9EV41.JPG",0.0002682,163.703,0.148,209.264,8.746,0.251,"C3","CW"
"9","17","OFAV_SS_9EV41.JPG",0.147,181.683,0,227,0,0,"C3","A"
"10","18","OFAV_SS_9EV41.JPG",0.067,161.025,0,219,0,0,"C3","CA"
"11","19","OFAV_SS_9EV41.JPG",0.0005454,163.404,0.807,217.863,-94.271,0.513,"C4","H"
"12","2","OFAV_SS_9EV41.JPG",0.0002716,180.222,107.579,209.8,-114.642,0.255,"C1","CH"
"13","20","OFAV_SS_9EV41.JPG",0.0002862,162.348,96.218,204.929,-95.891,0.269,"C4","CH"
"14","21","OFAV_SS_9EV41.JPG",0.0004575,181.063,0.158,217.262,4.811,0.43,"C4","W"
"15","22","OFAV_SS_9EV41.JPG",0.0002896,166.068,0.044,201.854,7.181,0.272,"C4","CW"
"16","23","OFAV_SS_9EV41.JPG",0.19,182.515,0,221,0,0,"C4","A"
"17","24","OFAV_SS_9EV41.JPG",0.066,167.323,0,221,0,0,"C4","CA"
"18","25","OFAV_SS_9EV41.JPG",0.0004699,159.436,0.333,217.763,-89.449,0.442,"C5","H"
"19","26","OFAV_SS_9EV41.JPG",0.0002862,158.258,93.866,205.254,-81.806,0.268,"C5","CH"
"20","27","OFAV_SS_9EV41.JPG",0.0004755,182.54,0.438,220,2.998,0.446,"C5","W"
"21","28","OFAV_SS_9EV41.JPG",0.0002705,161.842,0.227,207.378,4.325,0.253,"C5","CW"
"22","29","OFAV_SS_9EV41.JPG",0.175,189.173,0,228,0,0,"C5","A"
"23","3","OFAV_SS_9EV41.JPG",0.000435,186.089,0.306,211.084,3.576,0.408,"C1","W"
"24","30","OFAV_SS_9EV41.JPG",0.068,168.104,0,220,0,0,"C5","CA"
"25","4","OFAV_SS_9EV41.JPG",0.0002468,172.933,0,213.838,2.102,0.232,"C1","CW"
"26","5","OFAV_SS_9EV41.JPG",0.164,192.448,0,226,0,0,"C1","A"
"27","6","OFAV_SS_9EV41.JPG",0.06,177.922,0,226,0,0,"C1","CA"
"28","7","OFAV_SS_9EV41.JPG",0.0004417,172.346,0.033,210.257,-99.414,0.415,"C2","H"
"29","8","OFAV_SS_9EV41.JPG",0.0002874,161.95,0.2,208.349,-107.435,0.269,"C2","CH"
"30","9","OFAV_SS_9EV41.JPG",0.0004316,186.4,0,217,2.698,0.406,"C2","W"
