"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_OAZ4",0.0003722,112.016,0.818,177.667,-78.536,0.403,"C1","H"
"2","10",10,"OFAV_SS_OAZ4",0.0002018,99.343,0.333,141,2.175,0.218,"C2","CW"
"3","11",11,"OFAV_SS_OAZ4",0.117,141.272,0,195,0,0,"C2","A"
"4","12",12,"OFAV_SS_OAZ4",0.051,116.45,0,190,0,0,"C2","CA"
"5","13",13,"OFAV_SS_OAZ4",0.0003569,164.393,0.495,214.6,-88.363,0.387,"C3","H"
"6","14",14,"OFAV_SS_OAZ4",0.0002103,109.171,0.646,180.229,-85.121,0.227,"C3","CH"
"7","15",15,"OFAV_SS_OAZ4",0.0003366,171.296,0.311,212.394,14.036,0.364,"C3","W"
"8","16",16,"OFAV_SS_OAZ4",0.0001933,128.094,1.137,193.684,17.716,0.209,"C3","CW"
"9","17",17,"OFAV_SS_OAZ4",0.097,169.508,0,225,0,0,"C3","A"
"10","18",18,"OFAV_SS_OAZ4",0.045,144.628,0,225,0,0,"C3","CA"
"11","19",19,"OFAV_SS_OAZ4",0.0003145,143.811,15.391,212.213,-88.761,0.341,"C4","H"
"12","2",2,"OFAV_SS_OAZ4",0.0002298,77.862,0.333,147.722,-86.82,0.249,"C1","CH"
"13","20",20,"OFAV_SS_OAZ4",0.0002094,106.302,0.122,154.959,-87.207,0.227,"C4","CH"
"14","21",21,"OFAV_SS_OAZ4",0.0003298,151.179,0.333,186.667,0.886,0.357,"C4","W"
"15","22",22,"OFAV_SS_OAZ4",0.0001984,117.326,0.219,161.549,11.407,0.214,"C4","CW"
"16","23",23,"OFAV_SS_OAZ4",0.087,154.623,0,215,0,0,"C4","A"
"17","24",24,"OFAV_SS_OAZ4",0.043,135.055,0,215,0,0,"C4","CA"
"18","25",25,"OFAV_SS_OAZ4",0.0003349,147.718,0.205,203.571,-70.141,0.363,"C5","H"
"19","26",26,"OFAV_SS_OAZ4",0.0002264,102.12,0.375,180,-88.923,0.245,"C5","CH"
"20","27",27,"OFAV_SS_OAZ4",0.0002738,154.491,0.13,211.356,10.018,0.296,"C5","W"
"21","28",28,"OFAV_SS_OAZ4",0.000195,131.154,0.017,196.051,14.158,0.211,"C5","CW"
"22","29",29,"OFAV_SS_OAZ4",0.085,163.656,0,220,0,0,"C5","A"
"23","3",3,"OFAV_SS_OAZ4",0.0003154,127.307,42.084,188.875,14.036,0.342,"C1","W"
"24","30",30,"OFAV_SS_OAZ4",0.045,141.644,0,220,0,0,"C5","CA"
"25","4",4,"OFAV_SS_OAZ4",0.000178,96.513,0.28,154.448,15.832,0.192,"C1","CW"
"26","5",5,"OFAV_SS_OAZ4",0.1,132.686,0,205,0,0,"C1","A"
"27","6",6,"OFAV_SS_OAZ4",0.053,111.804,0,201,0,0,"C1","CA"
"28","7",7,"OFAV_SS_OAZ4",0.0004078,118.889,0.007,173.522,-83.541,0.442,"C2","H"
"29","8",8,"OFAV_SS_OAZ4",0.0002408,81.386,0.041,175,-95.469,0.261,"C2","CH"
"30","9",9,"OFAV_SS_OAZ4",0.0003323,131.468,1.195,184.376,24.007,0.36,"C2","W"
