"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_ODW46",0.0003585,160.426,70.425,213.217,-93.209,0.391,"C1","H"
"2","10",10,"OFAV_SS_ODW46",0.0002493,143.903,80.507,223,8.893,0.272,"C2","CW"
"3","11",11,"OFAV_SS_ODW46",0.141,187.899,0,245,0,0,"C2","A"
"4","12",12,"OFAV_SS_ODW46",0.058,164.892,0,245,0,0,"C2","CA"
"5","13",13,"OFAV_SS_ODW46",0.0003185,166.045,79.253,201,-77.276,0.348,"C3","H"
"6","14",14,"OFAV_SS_ODW46",0.0001717,142.204,0.955,177.976,-101.802,0.187,"C3","CH"
"7","15",15,"OFAV_SS_ODW46",0.000436,161.047,0.14,198.837,5.94,0.476,"C3","W"
"8","16",16,"OFAV_SS_ODW46",0.0002334,141.273,0.046,175.871,11.793,0.255,"C3","CW"
"9","17",17,"OFAV_SS_ODW46",0.136,169.316,0,206,0,0,"C3","A"
"10","18",18,"OFAV_SS_ODW46",0.039,156.82,0,205,0,0,"C3","CA"
"11","19",19,"OFAV_SS_ODW46",0.0003685,171.14,0.651,211.714,-92.726,0.403,"C4","H"
"12","2",2,"OFAV_SS_ODW46",0.0002109,98.61,0.021,167.83,-100.061,0.23,"C1","CH"
"13","20",20,"OFAV_SS_ODW46",0.0002159,122.959,0.876,199.841,-93.327,0.236,"C4","CH"
"14","21",21,"OFAV_SS_ODW46",0.0004243,163.185,0.385,217.691,17.899,0.463,"C4","W"
"15","22",22,"OFAV_SS_ODW46",0.0002268,144.586,0.118,216.301,15.422,0.247,"C4","CW"
"16","23",23,"OFAV_SS_ODW46",0.131,165.386,0,230,0,0,"C4","A"
"17","24",24,"OFAV_SS_ODW46",0.052,147.88,0,230,0,0,"C4","CA"
"18","25",25,"OFAV_SS_ODW46",0.0003393,140.717,49.73,194.514,-97.791,0.37,"C5","H"
"19","26",26,"OFAV_SS_ODW46",0.0002151,95.515,0,159.277,-102.36,0.235,"C5","CH"
"20","27",27,"OFAV_SS_ODW46",0.0003585,127.558,0.488,190.336,11.022,0.392,"C5","W"
"21","28",28,"OFAV_SS_ODW46",0.0002201,121.424,1.336,182.127,15.676,0.24,"C5","CW"
"22","29",29,"OFAV_SS_ODW46",0.107,146.656,0,208,0,0,"C5","A"
"23","3",3,"OFAV_SS_ODW46",0.0004077,149.396,0.333,212.23,2.347,0.446,"C1","W"
"24","30",30,"OFAV_SS_ODW46",0.046,130.661,0,207,0,0,"C5","CA"
"25","4",4,"OFAV_SS_ODW46",0.0001976,115.35,0.006,208.667,6.823,0.215,"C1","CW"
"26","5",5,"OFAV_SS_ODW46",0.137,162.123,0,221,0,0,"C1","A"
"27","6",6,"OFAV_SS_ODW46",0.048,145.46,0,221,0,0,"C1","CA"
"28","7",7,"OFAV_SS_ODW46",0.0003785,172.005,0.106,231.447,-93.545,0.413,"C2","H"
"29","8",8,"OFAV_SS_ODW46",0.0002276,158.4,1.156,209.517,-97.595,0.249,"C2","CH"
"30","9",9,"OFAV_SS_ODW46",0.0004177,186.688,1.947,232.851,1.375,0.457,"C2","W"
