"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFAV_SS_OEV3",0.0002765,212.833,132.727,241.333,-83.251,0.375,"C1","H"
"2","10",10,"OFAV_SS_OEV3",0.0001636,134.358,2.175,220,6.843,0.222,"C2","CW"
"3","11",11,"OFAV_SS_OEV3",0.089,181.247,0,242,0,0,"C2","A"
"4","12",12,"OFAV_SS_OEV3",0.036,151.588,0,238,0,0,"C2","CA"
"5","13",13,"OFAV_SS_OEV3",0.0002705,149.177,0.031,225.168,-67.433,0.368,"C3","H"
"6","14",14,"OFAV_SS_OEV3",0.0001501,94.309,0.672,196.442,-79.177,0.203,"C3","CH"
"7","15",15,"OFAV_SS_OEV3",0.0002381,156.282,0.239,226.248,30.294,0.323,"C3","W"
"8","16",16,"OFAV_SS_OEV3",0.0001409,117.911,0.341,172.83,21.638,0.191,"C3","CW"
"9","17",17,"OFAV_SS_OEV3",0.095,172.264,0,240,0,0,"C3","A"
"10","18",18,"OFAV_SS_OEV3",0.037,138.337,0,219,0,0,"C3","CA"
"11","19",19,"OFAV_SS_OEV3",0.0002311,159.114,0.444,214.678,-85.704,0.314,"C4","H"
"12","2",2,"OFAV_SS_OEV3",0.0001393,190.956,102.221,238.144,-96.71,0.189,"C1","CH"
"13","20",20,"OFAV_SS_OEV3",0.0001598,120.66,1.363,200.002,-94.279,0.217,"C4","CH"
"14","21",21,"OFAV_SS_OEV3",0.0002387,152.863,0.224,204.683,2.992,0.324,"C4","W"
"15","22",22,"OFAV_SS_OEV3",0.0001463,128.251,0.175,181.719,-1.697,0.198,"C4","CW"
"16","23",23,"OFAV_SS_OEV3",0.074,165.645,0,227,0,0,"C4","A"
"17","24",24,"OFAV_SS_OEV3",0.038,144.945,0,216,0,0,"C4","CA"
"18","25",25,"OFAV_SS_OEV3",0.0002446,163.076,92.897,203.991,-85.3,0.332,"C5","H"
"19","26",26,"OFAV_SS_OEV3",0.0001345,130.105,0.683,199,-88.614,0.182,"C5","CH"
"20","27",27,"OFAV_SS_OEV3",0.0002209,163.967,0.164,221.338,6.48,0.3,"C5","W"
"21","28",28,"OFAV_SS_OEV3",0.0001269,126.937,0.52,181.333,13.086,0.172,"C5","CW"
"22","29",29,"OFAV_SS_OEV3",0.069,177.79,0,238,0,0,"C5","A"
"23","3",3,"OFAV_SS_OEV3",0.0002322,189.267,0,241.897,7.224,0.316,"C1","W"
"24","30",30,"OFAV_SS_OEV3",0.029,152.39,0,235,0,0,"C5","CA"
"25","4",4,"OFAV_SS_OEV3",0.0001496,197.045,0.138,236.442,8.746,0.203,"C1","CW"
"26","5",5,"OFAV_SS_OEV3",0.079,210.33,0,251,0,0,"C1","A"
"27","6",6,"OFAV_SS_OEV3",0.036,190.886,0,243,0,0,"C1","CA"
"28","7",7,"OFAV_SS_OEV3",0.0002295,151.804,0.739,235.965,-85.943,0.312,"C2","H"
"29","8",8,"OFAV_SS_OEV3",0.0001561,138.918,0.302,232.632,-89.403,0.212,"C2","CH"
"30","9",9,"OFAV_SS_OEV3",0.0002614,158.401,2.733,214.994,6.419,0.355,"C2","W"
