"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_1GT42_P2",0.0003626,154.231,1.82,191.173,-89.569,0.38,"C1","H"
"2","10",10,"OFRA_PP_1GT42_P2",0.0002683,66.776,2.082,103.959,3.504,0.28,"C2","CW"
"3","11",11,"OFRA_PP_1GT42_P2",0.166,106.342,0,149,0,0,"C2","A"
"4","12",12,"OFRA_PP_1GT42_P2",0.061,89.336,0,143,0,0,"C2","CA"
"5","13",13,"OFRA_PP_1GT42_P2",0.0003354,137.475,69.434,166.333,-89.534,0.351,"C3","H"
"6","14",14,"OFRA_PP_1GT42_P2",0.0001831,77.403,24.597,152,-92.564,0.192,"C3","CH"
"7","15",15,"OFRA_PP_1GT42_P2",0.0005013,111.145,0.08,165.58,0.623,0.526,"C3","W"
"8","16",16,"OFRA_PP_1GT42_P2",0.0002855,80.541,0.97,143,6.038,0.299,"C3","CW"
"9","17",17,"OFRA_PP_1GT42_P2",0.145,122.344,0,175,0,0,"C3","A"
"10","18",18,"OFRA_PP_1GT42_P2",0.061,103.47,0,169,0,0,"C3","CA"
"11","19",19,"OFRA_PP_1GT42_P2",0.000358,131.103,0.226,175.759,-97.883,0.375,"C4","H"
"12","2",2,"OFRA_PP_1GT42_P2",0.0002221,118.334,74.316,169.533,-85.764,0.232,"C1","CH"
"13","20",20,"OFRA_PP_1GT42_P2",0.0002275,59.619,0.208,145.605,-95.505,0.238,"C4","CH"
"14","21",21,"OFRA_PP_1GT42_P2",0.0003925,114.537,0,175.5,1.193,0.411,"C4","W"
"15","22",22,"OFRA_PP_1GT42_P2",0.0002194,88.371,0.342,166.349,10.049,0.229,"C4","CW"
"16","23",23,"OFRA_PP_1GT42_P2",0.098,135.92,0,186,0,0,"C4","A"
"17","24",24,"OFRA_PP_1GT42_P2",0.053,114.482,0,186,0,0,"C4","CA"
"18","25",25,"OFRA_PP_1GT42_P2",0.0003082,109.569,0,178.681,-92.534,0.323,"C5","H"
"19","26",26,"OFRA_PP_1GT42_P2",0.0002393,80.433,0,137.458,-97.853,0.251,"C5","CH"
"20","27",27,"OFRA_PP_1GT42_P2",0.000426,131.125,0.336,171.303,3.668,0.446,"C5","W"
"21","28",28,"OFRA_PP_1GT42_P2",0.0002511,82.043,1.312,134.109,-0.623,0.263,"C5","CW"
"22","29",29,"OFRA_PP_1GT42_P2",0.098,128.812,0,186,0,0,"C5","A"
"23","3",3,"OFRA_PP_1GT42_P2",0.0004985,141.891,0,184.361,1.878,0.523,"C1","W"
"24","30",30,"OFRA_PP_1GT42_P2",0.061,114.969,0,186,0,0,"C5","CA"
"25","4",4,"OFRA_PP_1GT42_P2",0.0003073,122.862,0,158.333,14.407,0.321,"C1","CW"
"26","5",5,"OFRA_PP_1GT42_P2",0.146,148.189,0,200,0,0,"C1","A"
"27","6",6,"OFRA_PP_1GT42_P2",0.074,133.682,0,200,0,0,"C1","CA"
"28","7",7,"OFRA_PP_1GT42_P2",0.0003308,102.507,0.393,140.081,-94.724,0.347,"C2","H"
"29","8",8,"OFRA_PP_1GT42_P2",0.0001749,66.717,42,113.667,-90,0.183,"C2","CH"
"30","9",9,"OFRA_PP_1GT42_P2",0.0005339,93.453,0.599,138.912,1.753,0.56,"C2","W"
