"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_2CX12_P1.JPG",0.0005183,174.533,106.972,200.845,-96.116,0.512,"C1","H"
"2","10","OFRA_PP_2CX12_P1.JPG",0.0002704,180.437,0.439,224.333,2.603,0.267,"C2","CW"
"3","11","OFRA_PP_2CX12_P1.JPG",0.112,191.981,0,232,0,0,"C2","A"
"4","12","OFRA_PP_2CX12_P1.JPG",0.048,178.502,0,231,0,0,"C2","CA"
"5","13","OFRA_PP_2CX12_P1.JPG",0.0004326,194.063,162.145,223.817,71.822,0.427,"C3","H"
"6","14","OFRA_PP_2CX12_P1.JPG",3e-04,183.048,8.598,214.281,-106.026,0.296,"C3","CH"
"7","15","OFRA_PP_2CX12_P1.JPG",0.0004214,192.424,0.838,232.632,3.342,0.416,"C3","W"
"8","16","OFRA_PP_2CX12_P1.JPG",0.0002551,190.023,0.217,224.988,0.69,0.252,"C3","CW"
"9","17","OFRA_PP_2CX12_P1.JPG",0.152,193.57,0,244,0,0,"C3","A"
"10","18","OFRA_PP_2CX12_P1.JPG",0.062,185.165,0,238,0,0,"C3","CA"
"11","19","OFRA_PP_2CX12_P1.JPG",0.0005316,162.539,103.228,196.031,-99.299,0.525,"C4","H"
"12","2","OFRA_PP_2CX12_P1.JPG",0.0003479,166.31,107.857,205.985,-94.05,0.343,"C1","CH"
"13","20","OFRA_PP_2CX12_P1.JPG",0.0003367,133.291,0.089,187.983,-99.978,0.332,"C4","CH"
"14","21","OFRA_PP_2CX12_P1.JPG",0.0005173,158.465,0.353,199.535,4.425,0.511,"C4","W"
"15","22","OFRA_PP_2CX12_P1.JPG",0.0003346,156.391,0,196.092,3.151,0.331,"C4","CW"
"16","23","OFRA_PP_2CX12_P1.JPG",0.176,166.454,0,230,0,0,"C4","A"
"17","24","OFRA_PP_2CX12_P1.JPG",0.087,154.33,0,230,0,0,"C4","CA"
"18","25","OFRA_PP_2CX12_P1.JPG",0.0004846,162.429,0.134,231.245,-106.943,0.478,"C5","H"
"19","26","OFRA_PP_2CX12_P1.JPG",0.0003163,164.234,117.987,215.918,-106.327,0.313,"C5","CH"
"20","27","OFRA_PP_2CX12_P1.JPG",0.0005071,178.093,1.764,219.263,9.405,0.501,"C5","W"
"21","28","OFRA_PP_2CX12_P1.JPG",0.0002489,164.597,119.466,187.63,9.23,0.246,"C5","CW"
"22","29","OFRA_PP_2CX12_P1.JPG",0.179,176.86,0,234,0,0,"C5","A"
"23","3","OFRA_PP_2CX12_P1.JPG",0.0005316,168.572,0.555,208.998,6.961,0.525,"C1","W"
"24","30","OFRA_PP_2CX12_P1.JPG",0.076,166.337,0,226,0,0,"C5","CA"
"25","4","OFRA_PP_2CX12_P1.JPG",0.0003551,155.714,0.197,198.083,11.991,0.35,"C1","CW"
"26","5","OFRA_PP_2CX12_P1.JPG",0.202,176.359,0,233,0,0,"C1","A"
"27","6","OFRA_PP_2CX12_P1.JPG",0.122,167.261,0,227,0,0,"C1","CA"
"28","7","OFRA_PP_2CX12_P1.JPG",0.0003785,186.576,0.167,221.17,-105.499,0.374,"C2","H"
"29","8","OFRA_PP_2CX12_P1.JPG",0.0002571,164.095,0.793,212.925,-104.534,0.254,"C2","CH"
"30","9","OFRA_PP_2CX12_P1.JPG",0.0004387,189.828,0.566,217.145,-0.801,0.433,"C2","W"
