"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_2673_P1",0.0003981,184.286,120.537,208.976,-85.79,0.442,"C1","H"
"2","10",10,"OFRA_PP_2673_P1",0.0002765,151.024,90.68,195,5.057,0.306,"C2","CW"
"3","11",11,"OFRA_PP_2673_P1",0.16,170.027,0,221,0,0,"C2","A"
"4","12",12,"OFRA_PP_2673_P1",0.091,164.134,0,220,0,0,"C2","CA"
"5","13",13,"OFRA_PP_2673_P1",0.0003786,145.583,0.071,204.612,-87.045,0.419,"C3","H"
"6","14",14,"OFRA_PP_2673_P1",0.0002797,158.901,112.68,190.826,-102.095,0.309,"C3","CH"
"7","15",15,"OFRA_PP_2673_P1",0.0003827,172.539,0.278,210.001,6.219,0.424,"C3","W"
"8","16",16,"OFRA_PP_2673_P1",0.0002692,145.309,100.743,199,8.865,0.298,"C3","CW"
"9","17",17,"OFRA_PP_2673_P1",0.155,159.978,0,216,0,0,"C3","A"
"10","18",18,"OFRA_PP_2673_P1",0.096,150.045,0,212,0,0,"C3","CA"
"11","19",19,"OFRA_PP_2673_P1",0.0004086,157.14,0.333,196.76,-86.58,0.453,"C4","H"
"12","2",2,"OFRA_PP_2673_P1",0.0002911,154.553,93.938,188.922,-86.634,0.322,"C1","CH"
"13","20",20,"OFRA_PP_2673_P1",0.0002732,127.555,0,191.821,-98.902,0.303,"C4","CH"
"14","21",21,"OFRA_PP_2673_P1",0.0003746,161.155,0,201.82,-2.738,0.415,"C4","W"
"15","22",22,"OFRA_PP_2673_P1",0.0002197,129.441,0.022,184.956,2.968,0.243,"C4","CW"
"16","23",23,"OFRA_PP_2673_P1",0.15,167.853,0,216,0,0,"C4","A"
"17","24",24,"OFRA_PP_2673_P1",0.071,155.53,0,211,0,0,"C4","CA"
"18","25",25,"OFRA_PP_2673_P1",0.00033,115.803,0.057,173.88,-88.589,0.366,"C5","H"
"19","26",26,"OFRA_PP_2673_P1",0.0002011,87.643,0.009,155.886,-107.409,0.223,"C5","CH"
"20","27",27,"OFRA_PP_2673_P1",0.0002667,133.492,0,175.228,2.793,0.296,"C5","W"
"21","28",28,"OFRA_PP_2673_P1",0.0001467,112.411,0.366,180.28,11.56,0.162,"C5","CW"
"22","29",29,"OFRA_PP_2673_P1",0.093,138.243,0,190,0,0,"C5","A"
"23","3",3,"OFRA_PP_2673_P1",0.0004094,163.005,0.333,210.333,2.045,0.454,"C1","W"
"24","30",30,"OFRA_PP_2673_P1",0.034,121.742,0,189,0,0,"C5","CA"
"25","4",4,"OFRA_PP_2673_P1",0.0002513,148.083,0.333,185,0,0.278,"C1","CW"
"26","5",5,"OFRA_PP_2673_P1",0.167,176.269,0,227,0,0,"C1","A"
"27","6",6,"OFRA_PP_2673_P1",0.085,164.128,0,217,0,0,"C1","CA"
"28","7",7,"OFRA_PP_2673_P1",0.0004427,164.758,0.055,211.871,-103.042,0.491,"C2","H"
"29","8",8,"OFRA_PP_2673_P1",3e-04,151.205,89.094,200.146,-113.443,0.333,"C2","CH"
"30","9",9,"OFRA_PP_2673_P1",0.0003957,150.682,0.312,187.973,-3.884,0.439,"C2","W"
