"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_1GT37_P2",0.0003594,138.146,71.333,179.122,-90.699,0.42,"C1","H"
"2","10","OFRA_PP_1GT37_P2",0.0002712,132.608,81.363,176.654,6.033,0.317,"C2","CW"
"3","11","OFRA_PP_1GT37_P2",0.186,144.054,56,197,0,0,"C2","A"
"4","12","OFRA_PP_1GT37_P2",0.082,131.245,56,197,0,0,"C2","CA"
"5","13","OFRA_PP_1GT37_P2",0.000425,134.932,80.493,170.502,-92.066,0.497,"C3","H"
"6","14","OFRA_PP_1GT37_P2",0.0002981,119.821,68.498,170.002,-92.106,0.349,"C3","CH"
"7","15","OFRA_PP_1GT37_P2",0.0003761,125.699,60.876,240.393,7.705,0.439,"C3","W"
"8","16","OFRA_PP_1GT37_P2",0.0002748,128.81,63.969,167.627,11.041,0.321,"C3","CW"
"9","17","OFRA_PP_1GT37_P2",0.179,132.883,50,249,0,0,"C3","A"
"10","18","OFRA_PP_1GT37_P2",0.095,125.521,50,193,0,0,"C3","CA"
"11","19","OFRA_PP_1GT37_P2",0.0003397,138.562,69.968,179.8,-101.527,0.397,"C4","H"
"12","2","OFRA_PP_1GT37_P2",0.0002216,132.338,84.003,177.475,-97.407,0.258,"C1","CH"
"13","20","OFRA_PP_1GT37_P2",0.0002486,127.64,75.066,167.516,-93.545,0.29,"C4","CH"
"14","21","OFRA_PP_1GT37_P2",0.0003703,150.058,107.211,178.14,-0.339,0.433,"C4","W"
"15","22","OFRA_PP_1GT37_P2",0.000215,131.136,78.816,171.02,1.753,0.251,"C4","CW"
"16","23","OFRA_PP_1GT37_P2",0.162,150.415,49,194,0,0,"C4","A"
"17","24","OFRA_PP_1GT37_P2",0.071,137.781,49,194,0,0,"C4","CA"
"18","25","OFRA_PP_1GT37_P2",0.000441,152.069,107.343,181.667,-90.949,0.516,"C5","H"
"19","26","OFRA_PP_1GT37_P2",0.0002865,134.263,84.423,177.368,-96.437,0.335,"C5","CH"
"20","27","OFRA_PP_1GT37_P2",0.0004046,144.873,85.172,169.667,1.861,0.473,"C5","W"
"21","28","OFRA_PP_1GT37_P2",0.0002529,137.601,91.069,168.665,-2.648,0.296,"C5","CW"
"22","29","OFRA_PP_1GT37_P2",0.214,155.882,50,206,0,0,"C5","A"
"23","3","OFRA_PP_1GT37_P2",0.0003506,148.121,58.783,188.413,2.505,0.41,"C1","W"
"24","30","OFRA_PP_1GT37_P2",0.085,143.24,50,197,0,0,"C5","CA"
"25","4","OFRA_PP_1GT37_P2",0.0002085,136.693,67.147,169.333,1.206,0.243,"C1","CW"
"26","5","OFRA_PP_1GT37_P2",0.165,154.718,54,209,0,0,"C1","A"
"27","6","OFRA_PP_1GT37_P2",0.059,139.078,54,209,0,0,"C1","CA"
"28","7","OFRA_PP_1GT37_P2",0.0003652,131.017,71.69,188.4,-85.179,0.427,"C2","H"
"29","8","OFRA_PP_1GT37_P2",0.000261,119.926,69.745,176.333,-90.963,0.305,"C2","CH"
"30","9","OFRA_PP_1GT37_P2",0.0004206,139.799,78.681,172.333,21.08,0.491,"C2","W"
