"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_2HS11.JPG",0.0004787,194.529,7.817,226.553,-94.139,0.467,"C1","H"
"2","10","OFRA_PP_2HS11.JPG",0.0003616,170.287,1.855,201.246,1.992,0.353,"C2","CW"
"3","11","OFRA_PP_2HS11.JPG",0.222,180.255,0,235,0,0,"C2","A"
"4","12","OFRA_PP_2HS11.JPG",0.097,168.833,0,220,0,0,"C2","CA"
"5","13","OFRA_PP_2HS11.JPG",0.000464,183.538,3.71,212.911,-95.826,0.453,"C3","H"
"6","14","OFRA_PP_2HS11.JPG",0.0002958,171.022,25.66,218.383,-90.61,0.288,"C3","CH"
"7","15","OFRA_PP_2HS11.JPG",0.0004954,176.112,1.075,210.494,4.733,0.483,"C3","W"
"8","16","OFRA_PP_2HS11.JPG",0.0003439,178.809,0.333,204.54,8.427,0.335,"C3","CW"
"9","17","OFRA_PP_2HS11.JPG",0.156,187.18,0,239,0,0,"C3","A"
"10","18","OFRA_PP_2HS11.JPG",0.089,177.883,0,239,0,0,"C3","CA"
"11","19","OFRA_PP_2HS11.JPG",0.0003919,174.05,0,214.88,-101.581,0.382,"C4","H"
"12","2","OFRA_PP_2HS11.JPG",0.0002811,183.16,146.527,207.564,-86.143,0.274,"C1","CH"
"13","20","OFRA_PP_2HS11.JPG",0.000254,179.178,0.025,213.591,-105.068,0.248,"C4","CH"
"14","21","OFRA_PP_2HS11.JPG",0.000371,195.385,0,218,-0.486,0.362,"C4","W"
"15","22","OFRA_PP_2HS11.JPG",0.0002362,187.143,0.671,206.413,1.528,0.23,"C4","CW"
"16","23","OFRA_PP_2HS11.JPG",0.09,195.396,0,235,0,0,"C4","A"
"17","24","OFRA_PP_2HS11.JPG",0.058,188.501,0,232,0,0,"C4","CA"
"18","25","OFRA_PP_2HS11.JPG",0.0004578,160.564,123.081,191.667,-95.123,0.446,"C5","H"
"19","26","OFRA_PP_2HS11.JPG",0.0003282,142.826,0.251,187.495,-98.83,0.32,"C5","CH"
"20","27","OFRA_PP_2HS11.JPG",0.0004442,162.713,0.378,212.544,4.461,0.434,"C5","W"
"21","28","OFRA_PP_2HS11.JPG",0.0002843,155.62,113.005,184.047,5.08,0.277,"C5","CW"
"22","29","OFRA_PP_2HS11.JPG",0.209,178.989,0,239,0,0,"C5","A"
"23","3","OFRA_PP_2HS11.JPG",0.0004463,187.412,0,216.333,2.017,0.436,"C1","W"
"24","30","OFRA_PP_2HS11.JPG",0.088,163.872,0,215,0,0,"C5","CA"
"25","4","OFRA_PP_2HS11.JPG",0.0002811,172.724,0.54,203.736,3.857,0.274,"C1","CW"
"26","5","OFRA_PP_2HS11.JPG",0.168,196.764,0,239,0,0,"C1","A"
"27","6","OFRA_PP_2HS11.JPG",0.076,185.669,0,236,0,0,"C1","CA"
"28","7","OFRA_PP_2HS11.JPG",0.0005497,159.234,0.282,219.227,-103.559,0.536,"C2","H"
"29","8","OFRA_PP_2HS11.JPG",0.0003721,162.725,0.333,211.737,-94.844,0.363,"C2","CH"
"30","9","OFRA_PP_2HS11.JPG",0.000556,172.434,0.333,222.333,0,0.543,"C2","W"
