"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_2HS17_P2.JPG",0.0003924,171.154,103.214,207.214,-96.582,0.392,"C1","H"
"2","10","OFRA_PP_2HS17_P2.JPG",0.000249,164.961,1.333,211.141,2.07,0.249,"C2","CW"
"3","11","OFRA_PP_2HS17_P2.JPG",0.127,184.059,0,233,0,0,"C2","A"
"4","12","OFRA_PP_2HS17_P2.JPG",0.049,167.61,0,227,0,0,"C2","CA"
"5","13","OFRA_PP_2HS17_P2.JPG",0.0004701,187.384,138.342,215.04,-96.219,0.47,"C3","H"
"6","14","OFRA_PP_2HS17_P2.JPG",0.0003027,154.623,0.188,209.871,-90.567,0.302,"C3","CH"
"7","15","OFRA_PP_2HS17_P2.JPG",0.0003834,196.019,0,217.667,0,0.383,"C3","W"
"8","16","OFRA_PP_2HS17_P2.JPG",0.0002549,190.355,0.463,221.863,0.674,0.254,"C3","CW"
"9","17","OFRA_PP_2HS17_P2.JPG",0.134,189.359,0,237,0,0,"C3","A"
"10","18","OFRA_PP_2HS17_P2.JPG",0.061,180.737,0,237,0,0,"C3","CA"
"11","19","OFRA_PP_2HS17_P2.JPG",0.0004143,168.505,0.3,204.735,-109.877,0.414,"C4","H"
"12","2","OFRA_PP_2HS17_P2.JPG",0.000253,171.366,103.227,207.997,-94.086,0.252,"C1","CH"
"13","20","OFRA_PP_2HS17_P2.JPG",0.0002569,164.256,0.387,202.458,-104.199,0.256,"C4","CH"
"14","21","OFRA_PP_2HS17_P2.JPG",0.0004143,176.896,0.725,205.867,3.731,0.414,"C4","W"
"15","22","OFRA_PP_2HS17_P2.JPG",0.000237,169.928,0.333,209.667,1.45,0.237,"C4","CW"
"16","23","OFRA_PP_2HS17_P2.JPG",0.127,181.92,0,237,0,0,"C4","A"
"17","24","OFRA_PP_2HS17_P2.JPG",0.057,171.856,0,219,0,0,"C4","CA"
"18","25","OFRA_PP_2HS17_P2.JPG",0.0003744,190.41,0.447,225.91,-94.89,0.375,"C5","H"
"19","26","OFRA_PP_2HS17_P2.JPG",0.0002659,195.654,138.84,226.624,-90.431,0.265,"C5","CH"
"20","27","OFRA_PP_2HS17_P2.JPG",0.0004332,200.56,0.255,227.424,0.792,0.433,"C5","W"
"21","28","OFRA_PP_2HS17_P2.JPG",0.0002579,185.923,0.248,223.235,-0.888,0.257,"C5","CW"
"22","29","OFRA_PP_2HS17_P2.JPG",0.114,203.794,0,243,0,0,"C5","A"
"23","3","OFRA_PP_2HS17_P2.JPG",0.0003754,181.875,0.473,210.505,3.205,0.375,"C1","W"
"24","30","OFRA_PP_2HS17_P2.JPG",0.057,195.826,0,243,0,0,"C5","CA"
"25","4","OFRA_PP_2HS17_P2.JPG",0.0002181,163.765,0,211.864,11.929,0.217,"C1","CW"
"26","5","OFRA_PP_2HS17_P2.JPG",0.131,182.516,0,236,0,0,"C1","A"
"27","6","OFRA_PP_2HS17_P2.JPG",0.049,168.033,0,220,0,0,"C1","CA"
"28","7","OFRA_PP_2HS17_P2.JPG",0.0003983,184.999,137,213.95,-91.292,0.398,"C2","H"
"29","8","OFRA_PP_2HS17_P2.JPG",0.0002719,146.617,0.351,202.218,-97.595,0.272,"C2","CH"
"30","9","OFRA_PP_2HS17_P2.JPG",0.0003834,174.987,1.333,204.654,0.448,0.383,"C2","W"
