"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_2HS27",0.002,98.41,0.373,166.682,-86.386,0.779,"C1","H"
"2","10",10,"OFRA_PP_2HS27",0.000997,67.779,0.105,118,5.807,0.486,"C2","CW"
"3","11",11,"OFRA_PP_2HS27",0.54,112.747,0,191,0,0,"C2","A"
"4","12",12,"OFRA_PP_2HS27",0.266,87.298,0,163,0,0,"C2","CA"
"5","13",13,"OFRA_PP_2HS27",0.002,118.659,0,179.667,-90,0.917,"C3","H"
"6","14",14,"OFRA_PP_2HS27",0.001,74.579,0,168,-90,0.557,"C3","CH"
"7","15",15,"OFRA_PP_2HS27",0.002,113.131,0.034,181.291,-0.979,0.958,"C3","W"
"8","16",16,"OFRA_PP_2HS27",0.001,82.71,0.035,175.801,-0.855,0.549,"C3","CW"
"9","17",17,"OFRA_PP_2HS27",0.695,136.046,0,191,0,0,"C3","A"
"10","18",18,"OFRA_PP_2HS27",0.246,102.897,0,181,0,0,"C3","CA"
"11","19",19,"OFRA_PP_2HS27",0.002,115.617,0,182.148,-88.939,0.884,"C4","H"
"12","2",2,"OFRA_PP_2HS27",0.001,106.593,55.244,145.398,-90.855,0.549,"C1","CH"
"13","20",20,"OFRA_PP_2HS27",0.0009802,67.522,0.009,140.399,-85.073,0.477,"C4","CH"
"14","21",21,"OFRA_PP_2HS27",0.002,121.62,0,185.889,0.531,0.884,"C4","W"
"15","22",22,"OFRA_PP_2HS27",0.001,72.073,0,118.164,1.762,0.532,"C4","CW"
"16","23",23,"OFRA_PP_2HS27",0.588,134.776,0,202,0,0,"C4","A"
"17","24",24,"OFRA_PP_2HS27",0.23,100.158,0,193,0,0,"C4","CA"
"18","3",3,"OFRA_PP_2HS27",0.002,106.695,0.013,164,2.182,0.86,"C1","W"
"19","4",4,"OFRA_PP_2HS27",0.001,89.764,0.32,135.667,0.774,0.606,"C1","CW"
"20","5",5,"OFRA_PP_2HS27",0.66,125.562,0,185,0,0,"C1","A"
"21","6",6,"OFRA_PP_2HS27",0.301,100.023,0,174,0,0,"C1","CA"
"22","7",7,"OFRA_PP_2HS27",0.002,98.724,0.084,178.333,-82.569,0.76,"C2","H"
"23","8",8,"OFRA_PP_2HS27",0.001,100.649,57.854,162,-86.424,0.525,"C2","CH"
"24","9",9,"OFRA_PP_2HS27",0.002,116.594,0.35,171.219,2.921,0.803,"C2","W"
