"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_2HS9_P1",0.0003436,126.559,21.663,145.66,-94.399,0.354,"C1","H"
"2","10",10,"OFRA_PP_2HS9_P1",0.0001624,102.005,0.04,148.124,-24.775,0.166,"C2","CW"
"3","11",11,"OFRA_PP_2HS9_P1",0.092,125.409,0,156,0,0,"C2","A"
"4","12",12,"OFRA_PP_2HS9_P1",0.018,116.828,0,156,0,0,"C2","CA"
"5","13",13,"OFRA_PP_2HS9_P1",0.0003615,129.29,0.338,157.444,-97.792,0.372,"C3","H"
"6","14",14,"OFRA_PP_2HS9_P1",0.0002235,137.117,1.361,156.177,-105.68,0.229,"C3","CH"
"7","15",15,"OFRA_PP_2HS9_P1",0.0003897,135.517,2.444,156.667,-12.829,0.401,"C3","W"
"8","16",16,"OFRA_PP_2HS9_P1",0.000246,129.266,0.577,156.667,-20.659,0.253,"C3","CW"
"9","17",17,"OFRA_PP_2HS9_P1",0.121,136.682,0,169,0,0,"C3","A"
"10","18",18,"OFRA_PP_2HS9_P1",0.046,135.583,0,169,0,0,"C3","CA"
"11","19",19,"OFRA_PP_2HS9_P1",0.000369,117.6,0.884,138.299,-91.169,0.38,"C4","H"
"12","2",2,"OFRA_PP_2HS9_P1",0.0002263,116.719,81.344,143,-100.561,0.233,"C1","CH"
"13","20",20,"OFRA_PP_2HS9_P1",0.0002385,82.576,0.211,134.122,-94.538,0.245,"C4","CH"
"14","21",21,"OFRA_PP_2HS9_P1",0.000369,97.001,0,137.673,1.753,0.38,"C4","W"
"15","22",22,"OFRA_PP_2HS9_P1",2e-04,106.036,0,136.667,0,0.205,"C4","CW"
"16","23",23,"OFRA_PP_2HS9_P1",0.11,116.894,0,149,0,0,"C4","A"
"17","24",24,"OFRA_PP_2HS9_P1",0.041,110.47,0,149,0,0,"C4","CA"
"18","25",25,"OFRA_PP_2HS9_P1",0.0004197,116.09,74.311,141.214,-95.659,0.432,"C5","H"
"19","26",26,"OFRA_PP_2HS9_P1",0.0002629,91.023,0.072,140.041,-105.832,0.27,"C5","CH"
"20","27",27,"OFRA_PP_2HS9_P1",0.0004188,104.815,0,142.261,-8.785,0.431,"C5","W"
"21","28",28,"OFRA_PP_2HS9_P1",0.0002535,125.187,73.015,143.969,-5.964,0.261,"C5","CW"
"22","29",29,"OFRA_PP_2HS9_P1",0.134,121.539,0,156,0,0,"C5","A"
"23","3",3,"OFRA_PP_2HS9_P1",0.0003728,121.728,0,150,0,0.384,"C1","W"
"24","30",30,"OFRA_PP_2HS9_P1",0.052,110.312,0,156,0,0,"C5","CA"
"25","4",4,"OFRA_PP_2HS9_P1",0.00023,111.019,0,144.333,2.816,0.237,"C1","CW"
"26","5",5,"OFRA_PP_2HS9_P1",0.115,125.175,0,156,0,0,"C1","A"
"27","6",6,"OFRA_PP_2HS9_P1",0.043,116.694,0,154,0,0,"C1","CA"
"28","7",7,"OFRA_PP_2HS9_P1",0.0003277,110.495,0,141.542,-102.6,0.338,"C2","H"
"29","8",8,"OFRA_PP_2HS9_P1",0.0001624,130.911,91.88,144.749,-125.538,0.167,"C2","CH"
"30","9",9,"OFRA_PP_2HS9_P1",0.0003681,129.715,2.658,144.352,-21.584,0.379,"C2","W"
