"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_4CX12.JPG",0.0005358,173.788,99.99,210.69,-93.417,0.536,"C1","H"
"2","10","OFRA_PP_4CX12.JPG",0.0003157,180.478,0.422,221.629,0.725,0.315,"C2","CW"
"3","11","OFRA_PP_4CX12.JPG",0.168,195.119,0,241,0,0,"C2","A"
"4","12","OFRA_PP_4CX12.JPG",0.066,185.345,0,241,0,0,"C2","CA"
"5","13","OFRA_PP_4CX12.JPG",0.0005965,179.898,0.338,224.211,-94.222,0.596,"C3","H"
"6","14","OFRA_PP_4CX12.JPG",0.0003545,186.982,147.548,219.06,-97.765,0.355,"C3","CH"
"7","15","OFRA_PP_4CX12.JPG",0.0004033,179.318,0.667,214.604,0.567,0.403,"C3","W"
"8","16","OFRA_PP_4CX12.JPG",0.0003207,174.398,118.715,216.528,3.576,0.32,"C3","CW"
"9","17","OFRA_PP_4CX12.JPG",0.233,185.42,0,232,0,0,"C3","A"
"10","18","OFRA_PP_4CX12.JPG",0.094,178.647,0,232,0,0,"C3","CA"
"11","19","OFRA_PP_4CX12.JPG",0.0004442,170.244,113.667,211.718,-94.122,0.444,"C4","H"
"12","2","OFRA_PP_4CX12.JPG",0.0003346,171.829,1.674,203.971,-97.549,0.334,"C1","CH"
"13","20","OFRA_PP_4CX12.JPG",0.0002868,166.171,0.464,200.879,-98.807,0.287,"C4","CH"
"14","21","OFRA_PP_4CX12.JPG",0.0002838,182.228,146.488,209.643,2.42,0.284,"C4","W"
"15","22","OFRA_PP_4CX12.JPG",0.0001773,128.736,0.133,194.2,5.194,0.176,"C4","CW"
"16","23","OFRA_PP_4CX12.JPG",0.115,169.678,0,217,0,0,"C4","A"
"17","24","OFRA_PP_4CX12.JPG",0.048,168.032,0,217,0,0,"C4","CA"
"18","25","OFRA_PP_4CX12.JPG",0.0004949,167.213,116.333,206.715,-90.462,0.495,"C5","H"
"19","26","OFRA_PP_4CX12.JPG",0.0003077,160.844,0,199.667,-92.974,0.308,"C5","CH"
"20","27","OFRA_PP_4CX12.JPG",0.0005099,168.88,0.469,204.937,5.845,0.51,"C5","W"
"21","28","OFRA_PP_4CX12.JPG",0.0003077,167.922,0.333,198.442,1.488,0.307,"C5","CW"
"22","29","OFRA_PP_4CX12.JPG",0.173,175.276,0,215,0,0,"C5","A"
"23","3","OFRA_PP_4CX12.JPG",0.000475,173.976,0.039,206.254,10.649,0.475,"C1","W"
"24","30","OFRA_PP_4CX12.JPG",0.088,171.014,0,215,0,0,"C5","CA"
"25","4","OFRA_PP_4CX12.JPG",0.0002579,161.332,0.053,206.188,6.242,0.257,"C1","CW"
"26","5","OFRA_PP_4CX12.JPG",0.207,176.035,0,222,0,0,"C1","A"
"27","6","OFRA_PP_4CX12.JPG",0.08,166.697,0,219,0,0,"C1","CA"
"28","7","OFRA_PP_4CX12.JPG",0.0003595,174.384,0.144,238.067,-88.091,0.359,"C2","H"
"29","8","OFRA_PP_4CX12.JPG",0.000248,186.849,134.403,215.419,-87.23,0.248,"C2","CH"
"30","9","OFRA_PP_4CX12.JPG",0.0004322,182.107,2.373,223.798,3.708,0.432,"C2","W"
