"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_6EV18",0.0003633,161.558,7.425,205.083,-87.039,0.503,"C1","H"
"2","10","OFRA_PP_6EV18",0.0001588,122.722,0.667,208.246,0.754,0.219,"C2","CW"
"3","11","OFRA_PP_6EV18",0.11,147.142,0,221,0,0,"C2","A"
"4","12","OFRA_PP_6EV18",0.049,131.937,0,221,0,0,"C2","CA"
"5","13","OFRA_PP_6EV18",0.0002624,174.141,116.911,201.71,-94.451,0.363,"C3","H"
"6","14","OFRA_PP_6EV18",0.0001411,132.037,70.2,189,-91.909,0.195,"C3","CH"
"7","15","OFRA_PP_6EV18",0.00038,152.846,104.198,188.51,-0.707,0.526,"C3","W"
"8","16","OFRA_PP_6EV18",0.0002067,128.512,0.364,190.374,0.868,0.286,"C3","CW"
"9","17","OFRA_PP_6EV18",0.114,163.63,0,215,0,0,"C3","A"
"10","18","OFRA_PP_6EV18",0.073,155.365,0,214,0,0,"C3","CA"
"11","19","OFRA_PP_6EV18",0.0003477,129.651,0.024,178.237,-77.881,0.481,"C4","H"
"12","2","OFRA_PP_6EV18",0.0001864,142.554,67.158,185.967,-80.327,0.258,"C1","CH"
"13","20","OFRA_PP_6EV18",0.0002046,126.109,53.401,189.211,-89.415,0.283,"C4","CH"
"14","21","OFRA_PP_6EV18",0.0004045,145.495,0.153,187.07,-9.948,0.56,"C4","W"
"15","22","OFRA_PP_6EV18",0.0002166,112.876,0.273,193.317,-6.92,0.299,"C4","CW"
"16","23","OFRA_PP_6EV18",0.166,150.39,0,209,0,0,"C4","A"
"17","24","OFRA_PP_6EV18",0.07,129.265,0,209,0,0,"C4","CA"
"18","25","OFRA_PP_6EV18",0.0001968,137.555,0.538,191.058,-94.259,0.272,"C5","H"
"19","26","OFRA_PP_6EV18",0.0001619,111.159,0.229,158.628,-102.689,0.223,"C5","CH"
"20","27","OFRA_PP_6EV18",0.0003264,150.438,0.546,201.72,179.085,0.452,"C5","W"
"21","28","OFRA_PP_6EV18",0.0002067,129.967,80.354,172.822,-2.025,0.286,"C5","CW"
"22","29","OFRA_PP_6EV18",0.086,150.477,0,212,0,0,"C5","A"
"23","3","OFRA_PP_6EV18",0.0003842,161.67,0.064,195.16,6.855,0.532,"C1","W"
"24","30","OFRA_PP_6EV18",0.053,141.7,0,209,0,0,"C5","CA"
"25","4","OFRA_PP_6EV18",0.0002249,134.631,1.025,181.492,10.162,0.311,"C1","CW"
"26","5","OFRA_PP_6EV18",0.154,170.157,0,215,0,0,"C1","A"
"27","6","OFRA_PP_6EV18",0.066,159.062,0,215,0,0,"C1","CA"
"28","7","OFRA_PP_6EV18",0.0002301,142.584,11.088,188.778,-86.878,0.318,"C2","H"
"29","8","OFRA_PP_6EV18",0.0001593,142.219,67.112,192.582,-93.764,0.22,"C2","CH"
"30","9","OFRA_PP_6EV18",0.0002525,122.977,0.019,171.333,-1.893,0.349,"C2","W"
