"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_6GT17",0.0004423,91.812,0.403,176,-118.831,0.469,"C1","H"
"2","10","OFRA_PP_6GT17",0.0002278,117.394,57.25,174.906,1.79,0.241,"C2","CW"
"3","11","OFRA_PP_6GT17",0.199,144.401,0,191,0,0,"C2","A"
"4","12","OFRA_PP_6GT17",0.062,124.85,0,191,0,0,"C2","CA"
"5","13","OFRA_PP_6GT17",0.000468,97.877,0,154.935,-110.913,0.496,"C3","H"
"6","14","OFRA_PP_6GT17",0.0001923,89.598,0.473,158.097,-100.685,0.203,"C3","CH"
"7","15","OFRA_PP_6GT17",0.0005017,113.977,0.333,157.667,-2.437,0.531,"C3","W"
"8","16","OFRA_PP_6GT17",0.0001923,117.27,66.654,158.111,1.061,0.203,"C3","CW"
"9","17","OFRA_PP_6GT17",0.183,126.08,0,187,0,0,"C3","A"
"10","18","OFRA_PP_6GT17",0.036,98.957,0,174,0,0,"C3","CA"
"11","19","OFRA_PP_6GT17",0.0003909,61.808,0,103.522,-114.702,0.415,"C4","H"
"12","2","OFRA_PP_6GT17",0.0002243,96.17,43.497,168.694,-122.681,0.237,"C1","CH"
"13","20","OFRA_PP_6GT17",0.0001711,48.172,0.071,95.204,-102.011,0.181,"C4","CH"
"14","21","OFRA_PP_6GT17",0.0005265,88.431,0,128.55,-19.29,0.559,"C4","W"
"15","22","OFRA_PP_6GT17",0.0001835,59.64,0.025,112.683,-7.815,0.194,"C4","CW"
"16","23","OFRA_PP_6GT17",0.151,82.254,0,153,0,0,"C4","A"
"17","24","OFRA_PP_6GT17",0.036,73.318,0,138,0,0,"C4","CA"
"18","25","OFRA_PP_6GT17",0.0004627,118.528,0.22,170.97,-106.489,0.491,"C5","H"
"19","26","OFRA_PP_6GT17",0.0002313,118.313,68.478,160.323,-104.25,0.245,"C5","CH"
"20","27","OFRA_PP_6GT17",0.0005478,125.138,45.609,163.082,-2.603,0.581,"C5","W"
"21","28","OFRA_PP_6GT17",0.0002703,95.465,0.342,154.333,1.507,0.286,"C5","CW"
"22","29","OFRA_PP_6GT17",0.235,130.071,0,195,0,0,"C5","A"
"23","3","OFRA_PP_6GT17",0.0005336,98.834,0.176,163.436,-3.053,0.566,"C1","W"
"24","30","OFRA_PP_6GT17",0.07,115.982,0,195,0,0,"C5","CA"
"25","4","OFRA_PP_6GT17",0.0002668,87.366,0.333,136.867,-0.764,0.282,"C1","CW"
"26","5","OFRA_PP_6GT17",0.203,115.275,0,208,0,0,"C1","A"
"27","6","OFRA_PP_6GT17",0.042,86.136,0,183,0,0,"C1","CA"
"28","7","OFRA_PP_6GT17",0.0003847,132.555,0.015,174.485,-94.236,0.408,"C2","H"
"29","8","OFRA_PP_6GT17",0.0002633,128.877,64.973,171.171,-91.548,0.279,"C2","CH"
"30","9","OFRA_PP_6GT17",0.0004583,143.522,0,179.721,-1.332,0.486,"C2","W"
