"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_6GT17",0.0003592,91.731,21.889,142.25,-90.531,0.393,"C1","H"
"2","10",10,"OFRA_PP_6GT17",0.0002571,116.107,0.188,179.344,-10.437,0.282,"C2","CW"
"3","11",11,"OFRA_PP_6GT17",0.17,144.452,0,191,0,0,"C2","A"
"4","12",12,"OFRA_PP_6GT17",0.069,130.298,0,191,0,0,"C2","CA"
"5","13",13,"OFRA_PP_6GT17",0.0003426,103.308,1.385,160.667,-90.556,0.375,"C3","H"
"6","14",14,"OFRA_PP_6GT17",0.0001601,77.089,0,148.667,-91.193,0.175,"C3","CH"
"7","15",15,"OFRA_PP_6GT17",0.0004487,124.381,0.005,167.652,-0.424,0.492,"C3","W"
"8","16",16,"OFRA_PP_6GT17",0.0002032,104.607,57.273,164.929,2.816,0.222,"C3","CW"
"9","17",17,"OFRA_PP_6GT17",0.147,123.723,0,183,0,0,"C3","A"
"10","18",18,"OFRA_PP_6GT17",0.037,101.761,0,177,0,0,"C3","CA"
"11","19",19,"OFRA_PP_6GT17",0.0003293,66.307,0,121.424,-89.421,0.361,"C4","H"
"12","2",2,"OFRA_PP_6GT17",0.0001402,88.186,41.937,136.429,-92.726,0.153,"C1","CH"
"13","20",20,"OFRA_PP_6GT17",0.0001535,43.642,0,94.536,-88.755,0.168,"C4","CH"
"14","21",21,"OFRA_PP_6GT17",0.0004089,80.29,0,131.122,-1.397,0.448,"C4","W"
"15","22",22,"OFRA_PP_6GT17",0.0002065,73.21,0.333,114.532,0.924,0.226,"C4","CW"
"16","23",23,"OFRA_PP_6GT17",0.146,81.046,0,153,0,0,"C4","A"
"17","24",24,"OFRA_PP_6GT17",0.038,72.33,0,137,0,0,"C4","CA"
"18","25",25,"OFRA_PP_6GT17",0.0003957,134.76,84.235,167,-106.607,0.433,"C5","H"
"19","26",26,"OFRA_PP_6GT17",0.000224,86.127,0.333,163.475,-104.657,0.245,"C5","CH"
"20","27",27,"OFRA_PP_6GT17",0.0004886,127.394,0.333,161.299,-1.559,0.536,"C5","W"
"21","28",28,"OFRA_PP_6GT17",0.0002397,92.303,1.061e-11,158.111,2.386,0.263,"C5","CW"
"22","29",29,"OFRA_PP_6GT17",0.204,129.345,0,195,0,0,"C5","A"
"23","3",3,"OFRA_PP_6GT17",0.0004811,104.638,0.048,166.937,-5.553,0.527,"C1","W"
"24","30",30,"OFRA_PP_6GT17",0.064,113.644,0,195,0,0,"C5","CA"
"25","4",4,"OFRA_PP_6GT17",0.000287,86.232,2.408,148.971,-3.991,0.314,"C1","CW"
"26","5",5,"OFRA_PP_6GT17",0.143,112.642,0,197,0,0,"C1","A"
"27","6",6,"OFRA_PP_6GT17",0.067,98.543,0,183,0,0,"C1","CA"
"28","7",7,"OFRA_PP_6GT17",0.0003343,125.781,6.821e-12,172,-95.143,0.366,"C2","H"
"29","8",8,"OFRA_PP_6GT17",0.0001833,130.309,69.873,168.873,-88.958,0.2,"C2","CH"
"30","9",9,"OFRA_PP_6GT17",0.0004529,148.213,0.381,174.568,-8.011,0.497,"C2","W"
