"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_8CX24",0.0003786,162.165,0.004,218.333,-81.254,0.423,"C1","H"
"2","10",10,"OFRA_PP_8CX24",0.0002463,146.954,0,209.333,2.974,0.275,"C2","CW"
"3","11",11,"OFRA_PP_8CX24",0.138,192.759,0,233,0,0,"C2","A"
"4","12",12,"OFRA_PP_8CX24",0.068,173.41,0,231,0,0,"C2","CA"
"5","13",13,"OFRA_PP_8CX24",0.0003826,175.261,0.221,227.333,-93.83,0.428,"C3","H"
"6","14",14,"OFRA_PP_8CX24",0.0002439,174.962,132.565,218.844,-102.121,0.272,"C3","CH"
"7","15",15,"OFRA_PP_8CX24",0.000393,164.707,0.389,222.667,-2.56,0.44,"C3","W"
"8","16",16,"OFRA_PP_8CX24",0.0002662,169.11,134.674,204.687,8.276,0.298,"C3","CW"
"9","17",17,"OFRA_PP_8CX24",0.156,199.199,0,234,0,0,"C3","A"
"10","18",18,"OFRA_PP_8CX24",0.078,183.778,0,228,0,0,"C3","CA"
"11","19",19,"OFRA_PP_8CX24",0.0003595,163.915,0.16,197.667,-91.146,0.402,"C4","H"
"12","2",2,"OFRA_PP_8CX24",0.0002415,158.865,104.44,199.975,-83.157,0.27,"C1","CH"
"13","20",20,"OFRA_PP_8CX24",0.0002232,140.102,98.667,173.333,-90,0.249,"C4","CH"
"14","21",21,"OFRA_PP_8CX24",0.0003531,134.506,0.149,174.447,4.279,0.395,"C4","W"
"15","22",22,"OFRA_PP_8CX24",0.0002399,131.102,2.467,190.013,7.481,0.267,"C4","CW"
"16","23",23,"OFRA_PP_8CX24",0.144,152.276,0,217,0,0,"C4","A"
"17","24",24,"OFRA_PP_8CX24",0.08,141.859,0,217,0,0,"C4","CA"
"18","25",25,"OFRA_PP_8CX24",0.0002686,126.537,0.277,197.119,-91.534,0.3,"C5","H"
"19","26",26,"OFRA_PP_8CX24",0.0002049,161.502,96.369,206.223,-95.377,0.229,"C5","CH"
"20","27",27,"OFRA_PP_8CX24",0.0003691,144.46,0,211.667,0,0.412,"C5","W"
"21","28",28,"OFRA_PP_8CX24",0.0002184,125.688,0.297,205.11,1.888,0.244,"C5","CW"
"22","29",29,"OFRA_PP_8CX24",0.096,161.641,0,222,0,0,"C5","A"
"23","3",3,"OFRA_PP_8CX24",0.0004105,174.226,1.819e-12,223.913,0.669,0.459,"C1","W"
"24","30",30,"OFRA_PP_8CX24",0.058,146.106,0,218,0,0,"C5","CA"
"25","4",4,"OFRA_PP_8CX24",0.0002415,140.929,0.059,194,11.086,0.269,"C1","CW"
"26","5",5,"OFRA_PP_8CX24",0.139,182.3,0,232,0,0,"C1","A"
"27","6",6,"OFRA_PP_8CX24",0.07,170.353,0,226,0,0,"C1","CA"
"28","7",7,"OFRA_PP_8CX24",0.0003914,183.886,0,226.048,-88.363,0.438,"C2","H"
"29","8",8,"OFRA_PP_8CX24",0.0002407,175.105,132.917,218,-94.194,0.269,"C2","CH"
"30","9",9,"OFRA_PP_8CX24",0.0004233,188.265,0.333,231.899,1.945,0.473,"C2","W"
