"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_8HS21",0.0005028,159.617,106.357,187.031,-91.332,0.509,"C1","H"
"2","10",10,"OFRA_PP_8HS21",0.0002723,153.238,0.614,216.333,8.653,0.275,"C2","CW"
"3","11",11,"OFRA_PP_8HS21",0.163,182.686,0,227,0,0,"C2","A"
"4","12",12,"OFRA_PP_8HS21",0.058,161.173,0,226,0,0,"C2","CA"
"5","13",13,"OFRA_PP_8HS21",0.0004804,177.138,0.136,215.877,-85.815,0.486,"C3","H"
"6","14",14,"OFRA_PP_8HS21",0.0003219,157.978,98.048,211.212,-87.917,0.326,"C3","CH"
"7","15",15,"OFRA_PP_8HS21",0.0004561,168.613,0.333,230,-1.469,0.462,"C3","W"
"8","16",16,"OFRA_PP_8HS21",0.0003161,157.665,0.173,219.019,-1.061,0.32,"C3","CW"
"9","17",17,"OFRA_PP_8HS21",0.165,179.28,0,237,0,0,"C3","A"
"10","18",18,"OFRA_PP_8HS21",0.069,153.872,0,229,0,0,"C3","CA"
"11","19",19,"OFRA_PP_8HS21",0.0005261,153.324,0,192.341,-90.637,0.533,"C4","H"
"12","2",2,"OFRA_PP_8HS21",0.0002412,145.295,109.842,178.881,-94.185,0.243,"C1","CH"
"13","20",20,"OFRA_PP_8HS21",0.0002986,129.998,0,189.667,-90,0.302,"C4","CH"
"14","21",21,"OFRA_PP_8HS21",0.0004736,162.618,0,204.79,0.707,0.479,"C4","W"
"15","22",22,"OFRA_PP_8HS21",0.0003219,129.886,0,201.667,0,0.325,"C4","CW"
"16","23",23,"OFRA_PP_8HS21",0.126,165.305,0,214,0,0,"C4","A"
"17","24",24,"OFRA_PP_8HS21",0.071,150.616,0,214,0,0,"C4","CA"
"18","25",25,"OFRA_PP_8HS21",0.0003861,149.786,0,206.869,-88.264,0.391,"C5","H"
"19","26",26,"OFRA_PP_8HS21",0.0002927,138.295,1,205,-90,0.296,"C5","CH"
"20","27",27,"OFRA_PP_8HS21",0.0004678,159.151,0.333,200.683,-1.432,0.474,"C5","W"
"21","28",28,"OFRA_PP_8HS21",0.0003161,132.357,0,186.333,1.061,0.32,"C5","CW"
"22","29",29,"OFRA_PP_8HS21",0.159,164.273,0,220,0,0,"C5","A"
"23","3",3,"OFRA_PP_8HS21",0.0005096,144.018,0.15,177.605,-2.632,0.515,"C1","W"
"24","30",30,"OFRA_PP_8HS21",0.073,147.085,0,220,0,0,"C5","CA"
"25","4",4,"OFRA_PP_8HS21",0.0003161,140.277,0.154,192.444,1.061,0.32,"C1","CW"
"26","5",5,"OFRA_PP_8HS21",0.157,152.097,0,220,0,0,"C1","A"
"27","6",6,"OFRA_PP_8HS21",0.071,146.385,0,220,0,0,"C1","CA"
"28","7",7,"OFRA_PP_8HS21",0.0004795,182.457,135.463,210.724,-90.699,0.485,"C2","H"
"29","8",8,"OFRA_PP_8HS21",0.0002752,162.879,119.319,205.574,-91.219,0.278,"C2","CH"
"30","9",9,"OFRA_PP_8HS21",0.000462,176.004,0.051,215.612,0.725,0.467,"C2","W"
