"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_OCX4",521,129.837,0,215.269,-88.458,520.188,"C1","H"
"2","10",10,"OFRA_PP_OCX4",361,108.007,0.039,168.137,5.425,359.611,"C2","CW"
"3","11",11,"OFRA_PP_OCX4",182539,152.437,0,233,0,0,"C2","A"
"4","12",12,"OFRA_PP_OCX4",104611,128.14,0,220,0,0,"C2","CA"
"5","13",13,"OFRA_PP_OCX4",489,156.686,0.29,209.519,-87.653,488.41,"C3","H"
"6","14",14,"OFRA_PP_OCX4",285,104.199,0.333,185.333,-91.614,284.113,"C3","CH"
"7","15",15,"OFRA_PP_OCX4",527,153.252,0,210.461,0.436,526.015,"C3","W"
"8","16",16,"OFRA_PP_OCX4",327,129.384,0.117,181.499,-1.054,326.055,"C3","CW"
"9","17",17,"OFRA_PP_OCX4",213969,171.905,0,226,0,0,"C3","A"
"10","18",18,"OFRA_PP_OCX4",84416,144.59,0,219,0,0,"C3","CA"
"11","19",19,"OFRA_PP_OCX4",491,118.905,52.609,201.49,-82.266,490.461,"C4","H"
"12","2",2,"OFRA_PP_OCX4",389,119.729,61.282,188.333,-90.591,388.021,"C1","CH"
"13","20",20,"OFRA_PP_OCX4",351,74.55,0.051,144.81,-92.944,350.463,"C4","CH"
"14","21",21,"OFRA_PP_OCX4",529,107.053,0.005,199.542,5.214,528.186,"C4","W"
"15","22",22,"OFRA_PP_OCX4",379,67.228,0,112.366,13.154,377.915,"C4","CW"
"16","23",23,"OFRA_PP_OCX4",194825,134.949,0,234,0,0,"C4","A"
"17","24",24,"OFRA_PP_OCX4",105934,104.503,0,193,0,0,"C4","CA"
"18","25",25,"OFRA_PP_OCX4",486,116.004,0,189.387,-83.608,485.015,"C5","H"
"19","26",26,"OFRA_PP_OCX4",303,70.955,0,127.576,-86.967,302.424,"C5","CH"
"20","27",27,"OFRA_PP_OCX4",504,137.296,0.307,204.333,9.837,503.4,"C5","W"
"21","28",28,"OFRA_PP_OCX4",327,96.889,0.589,159.155,15.656,326.098,"C5","CW"
"22","29",29,"OFRA_PP_OCX4",198997,139.084,0,210,0,0,"C5","A"
"23","3",3,"OFRA_PP_OCX4",488,105.37,0,162.21,3.532,486.925,"C1","W"
"24","30",30,"OFRA_PP_OCX4",96910,115.312,0,210,0,0,"C5","CA"
"25","4",4,"OFRA_PP_OCX4",339,105.589,0.333,166.738,6.452,338.142,"C1","CW"
"26","5",5,"OFRA_PP_OCX4",181798,142.63,0,217,0,0,"C1","A"
"27","6",6,"OFRA_PP_OCX4",122282,125.443,0,207,0,0,"C1","CA"
"28","7",7,"OFRA_PP_OCX4",481,114.297,0,214,-84.741,480.021,"C2","H"
"29","8",8,"OFRA_PP_OCX4",354,92.784,0,177,-86.1,352.817,"C2","CH"
"30","9",9,"OFRA_PP_OCX4",470,131.312,0.333,206.667,6.61,469.118,"C2","W"
