"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PP_OGT5",467,136.254,0.197,204.303,-89.508,466.017,"C1","H"
"2","10",10,"OFRA_PP_OGT5",310,133.688,0.576,177.857,3.345,308.526,"C2","CW"
"3","11",11,"OFRA_PP_OGT5",160321,154.284,0,205,0,0,"C2","A"
"4","12",12,"OFRA_PP_OGT5",98524,141.708,0,205,0,0,"C2","CA"
"5","13",13,"OFRA_PP_OGT5",492,126.349,0,184.312,-93.27,490.799,"C3","H"
"6","14",14,"OFRA_PP_OGT5",303,99.654,0,160.333,-88.483,302.106,"C3","CH"
"7","15",15,"OFRA_PP_OGT5",510,131.702,0.114,183.069,2.93,508.665,"C3","W"
"8","16",16,"OFRA_PP_OGT5",332,115.988,0.166,185.93,5.194,331.361,"C3","CW"
"9","17",17,"OFRA_PP_OGT5",165433,146.946,0,190,0,0,"C3","A"
"10","18",18,"OFRA_PP_OGT5",98046,133.866,0,189,0,0,"C3","CA"
"11","19",19,"OFRA_PP_OGT5",501,115.646,0,188,-88.625,500.144,"C4","H"
"12","2",2,"OFRA_PP_OGT5",338,124.759,77.489,182.351,-80.426,336.69,"C1","CH"
"13","20",20,"OFRA_PP_OGT5",359,120.644,65.194,177.832,-89.04,358.05,"C4","CH"
"14","21",21,"OFRA_PP_OGT5",431,135.055,0,186,1.865,430.228,"C4","W"
"15","22",22,"OFRA_PP_OGT5",296,131.708,58.215,184.35,12.149,294.598,"C4","CW"
"16","23",23,"OFRA_PP_OGT5",127577,143.915,0,201,0,0,"C4","A"
"17","24",24,"OFRA_PP_OGT5",92841,135.693,0,201,0,0,"C4","CA"
"18","25",25,"OFRA_PP_OGT5",476,138.543,0.2,192.131,-86.379,474.948,"C5","H"
"19","26",26,"OFRA_PP_OGT5",334,85.381,0.371,148.764,-84.837,333.353,"C5","CH"
"20","27",27,"OFRA_PP_OGT5",465,126.819,0,184.333,2.468,464.431,"C5","W"
"21","28",28,"OFRA_PP_OGT5",330,94.502,0.655,159.604,4.185,328.877,"C5","CW"
"22","29",29,"OFRA_PP_OGT5",170470,144.116,0,223,0,0,"C5","A"
"23","3",3,"OFRA_PP_OGT5",454,143.985,0.272,181.645,4.05,453.131,"C1","W"
"24","30",30,"OFRA_PP_OGT5",84948,125.081,0,223,0,0,"C5","CA"
"25","4",4,"OFRA_PP_OGT5",296,138.056,0.278,202.182,5.054,295.147,"C1","CW"
"26","5",5,"OFRA_PP_OGT5",141723,152.62,0,213,0,0,"C1","A"
"27","6",6,"OFRA_PP_OGT5",72661,136.593,0,212,0,0,"C1","CA"
"28","7",7,"OFRA_PP_OGT5",477,134.385,0,187.333,-88.556,476.151,"C2","H"
"29","8",8,"OFRA_PP_OGT5",347,102.148,0,158.47,-89.007,346.052,"C2","CH"
"30","9",9,"OFRA_PP_OGT5",447,141.795,0.668,183.333,1.028,446.072,"C2","W"
