"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_1GT37",0.0003387,134.349,3.198,173.195,-88.708,0.367,"C1","H"
"2","10",10,"OFRA_PS_1GT37",0.0002582,191.918,0.308,224.123,18.435,0.279,"C2","CW"
"3","11",11,"OFRA_PS_1GT37",0.17,199.517,0,233,0,0,"C2","A"
"4","12",12,"OFRA_PS_1GT37",0.059,191.175,0,233,0,0,"C2","CA"
"5","13",13,"OFRA_PS_1GT37",0.0004005,167.549,1.816,210.667,-74.904,0.435,"C3","H"
"6","14",14,"OFRA_PS_1GT37",0.0002523,157.624,1.55,199.538,-61.621,0.273,"C3","CH"
"7","15",15,"OFRA_PS_1GT37",0.0003894,168.45,0.333,207.333,2.62,0.423,"C3","W"
"8","16",16,"OFRA_PS_1GT37",0.0002117,164.104,0.41,194.084,-0.69,0.229,"C3","CW"
"9","17",17,"OFRA_PS_1GT37",0.134,178.253,0,231,0,0,"C3","A"
"10","18",18,"OFRA_PS_1GT37",0.06,167.453,0,220,0,0,"C3","CA"
"11","19",19,"OFRA_PS_1GT37",0.0003217,172.759,0.337,214.921,-79.046,0.349,"C4","H"
"12","2",2,"OFRA_PS_1GT37",0.0001913,125.688,41.262,179.627,-86.947,0.207,"C1","CH"
"13","20",20,"OFRA_PS_1GT37",0.0002117,159.877,0.333,208.412,-66.529,0.229,"C4","CH"
"14","21",21,"OFRA_PS_1GT37",0.000425,184.297,0.758,218.734,8.955,0.461,"C4","W"
"15","22",22,"OFRA_PS_1GT37",0.0001905,163.402,0.375,206.548,7.696,0.206,"C4","CW"
"16","23",23,"OFRA_PS_1GT37",0.125,191.009,0,230,0,0,"C4","A"
"17","24",24,"OFRA_PS_1GT37",0.052,181.977,0,230,0,0,"C4","CA"
"18","3",3,"OFRA_PS_1GT37",0.0003937,144.005,0.01,183.539,4.825,0.427,"C1","W"
"19","4",4,"OFRA_PS_1GT37",0.0002201,122.471,0.582,168.824,3.991,0.238,"C1","CW"
"20","5",5,"OFRA_PS_1GT37",0.114,146.641,0,192,0,0,"C1","A"
"21","6",6,"OFRA_PS_1GT37",0.046,132.21,0,191,0,0,"C1","CA"
"22","7",7,"OFRA_PS_1GT37",0.0004089,183.844,0.215,222.939,-73.369,0.444,"C2","H"
"23","8",8,"OFRA_PS_1GT37",0.0002794,168.105,0.248,213.099,-66.938,0.303,"C2","CH"
"24","9",9,"OFRA_PS_1GT37",0.0003437,197.317,0.199,223,14.139,0.373,"C2","W"
