"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_2CX12",0.0003982,170.742,0.747,215.667,3.912,0.432,"C1","H"
"2","10",10,"OFRA_PS_2CX12",0.0002313,123.007,1.569,206.319,2.526,0.251,"C2","CW"
"3","11",11,"OFRA_PS_2CX12",0.115,162.651,0,221,0,0,"C2","A"
"4","12",12,"OFRA_PS_2CX12",0.056,139.614,0,216,0,0,"C2","CA"
"5","13",13,"OFRA_PS_2CX12",0.0004346,124.37,0,167.333,-90,0.471,"C3","H"
"6","14",14,"OFRA_PS_2CX12",0.0002652,113.772,0,156,-87.797,0.287,"C3","CH"
"7","15",15,"OFRA_PS_2CX12",0.0003804,138.678,0.202,196,2.045,0.413,"C3","W"
"8","16",16,"OFRA_PS_2CX12",0.0002059,121.262,0.586,169.826,6.654,0.222,"C3","CW"
"9","17",17,"OFRA_PS_2CX12",0.124,142.002,0,195,0,0,"C3","A"
"10","18",18,"OFRA_PS_2CX12",0.072,127.529,0,182,0,0,"C3","CA"
"11","19",19,"OFRA_PS_2CX12",0.0003804,118.742,0.333,167.333,-90,0.412,"C4","H"
"12","2",2,"OFRA_PS_2CX12",0.0002406,150.182,0.2,212.041,8.931,0.261,"C1","CH"
"13","20",20,"OFRA_PS_2CX12",0.0002177,93.733,0.49,159.458,-88.21,0.236,"C4","CH"
"14","21",21,"OFRA_PS_2CX12",0.0003516,117.859,0.388,157.098,4.994,0.381,"C4","W"
"15","22",22,"OFRA_PS_2CX12",0.0002288,113.625,0.651,161.333,4.268,0.247,"C4","CW"
"16","23",23,"OFRA_PS_2CX12",0.105,132.093,0,175,0,0,"C4","A"
"17","24",24,"OFRA_PS_2CX12",0.052,113.309,0,175,0,0,"C4","CA"
"18","25",25,"OFRA_PS_2CX12",0.0003635,134.224,0.249,189.131,-91.071,0.394,"C5","H"
"19","26",26,"OFRA_PS_2CX12",0.0001983,109.019,72.501,167.866,-94.927,0.214,"C5","CH"
"20","27",27,"OFRA_PS_2CX12",0.0002652,117.902,0.114,193.308,9.583,0.288,"C5","W"
"21","28",28,"OFRA_PS_2CX12",0.0001923,112.829,45.128,175.245,8.13,0.208,"C5","CW"
"22","29",29,"OFRA_PS_2CX12",0.095,141.455,0,196,0,0,"C5","A"
"23","3",3,"OFRA_PS_2CX12",0.0003702,139.014,0,219.333,-90,0.401,"C1","W"
"24","30",30,"OFRA_PS_2CX12",0.054,125.76,0,196,0,0,"C5","CA"
"25","4",4,"OFRA_PS_2CX12",0.0002076,170.542,104.284,208.333,-89.061,0.225,"C1","CW"
"26","5",5,"OFRA_PS_2CX12",0.103,185.58,0,235,0,0,"C1","A"
"27","6",6,"OFRA_PS_2CX12",0.056,166.022,0,228,0,0,"C1","CA"
"28","7",7,"OFRA_PS_2CX12",0.0003982,152.849,81.998,208.763,-92.936,0.431,"C2","H"
"29","8",8,"OFRA_PS_2CX12",0.0002118,119.959,85.942,161.678,-95.528,0.229,"C2","CH"
"30","9",9,"OFRA_PS_2CX12",0.0003228,148.237,1.547,209.674,1.809,0.35,"C2","W"
