"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_2HS9",0.0004041,112.518,1.045,154.423,-71.711,0.448,"C1","H"
"2","10",10,"OFRA_PS_2HS9",0.0002118,152.009,111,183,0,0.234,"C2","CW"
"3","11",11,"OFRA_PS_2HS9",0.182,158.583,0,215,0,0,"C2","A"
"4","12",12,"OFRA_PS_2HS9",0.073,153.941,0,211,0,0,"C2","CA"
"5","13",13,"OFRA_PS_2HS9",0.0003676,112.214,0,161.009,-88.986,0.407,"C3","H"
"6","14",14,"OFRA_PS_2HS9",0.000181,94.584,58.123,137.822,-81.724,0.2,"C3","CH"
"7","15",15,"OFRA_PS_2HS9",0.0003303,108.727,0.282,144.706,10.204,0.366,"C3","W"
"8","16",16,"OFRA_PS_2HS9",0.0001883,94.99,0.512,135.215,9.951,0.209,"C3","CW"
"9","17",17,"OFRA_PS_2HS9",0.104,122.098,0,169,0,0,"C3","A"
"10","18",18,"OFRA_PS_2HS9",0.041,107.941,0,168,0,0,"C3","CA"
"11","19",19,"OFRA_PS_2HS9",0.0004683,67.237,20.893,106.215,-83.22,0.519,"C4","H"
"12","2",2,"OFRA_PS_2HS9",0.0002654,104.473,0.599,167.812,-63.75,0.293,"C1","CH"
"13","20",20,"OFRA_PS_2HS9",0.0002865,49.032,0,88.488,-81.501,0.317,"C4","CH"
"14","21",21,"OFRA_PS_2HS9",0.0003611,58.809,0.348,104.532,7.765,0.4,"C4","W"
"15","22",22,"OFRA_PS_2HS9",0.0002159,61.516,33.443,102.744,6.054,0.239,"C4","CW"
"16","23",23,"OFRA_PS_2HS9",0.174,70.94,0,132,0,0,"C4","A"
"17","24",24,"OFRA_PS_2HS9",0.065,56.457,0,118,0,0,"C4","CA"
"18","3",3,"OFRA_PS_2HS9",0.0004009,121.287,0.201,185.448,8.393,0.444,"C1","W"
"19","4",4,"OFRA_PS_2HS9",0.0002297,106.96,0.333,163.01,15.611,0.254,"C1","CW"
"20","5",5,"OFRA_PS_2HS9",0.123,130.16,0,197,0,0,"C1","A"
"21","6",6,"OFRA_PS_2HS9",0.07,120.351,0,197,0,0,"C1","CA"
"22","7",7,"OFRA_PS_2HS9",0.0004569,158.861,0.266,209.236,-94.899,0.506,"C2","H"
"23","8",8,"OFRA_PS_2HS9",0.0002597,147.966,84.24,205.987,-97.214,0.287,"C2","CH"
"24","9",9,"OFRA_PS_2HS9",0.0004683,150.033,3.185,202.111,0.796,0.519,"C2","W"
