"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_6EV18",0.0003234,183.601,25.04,225,-77.234,0.356,"C1","H"
"2","10",10,"OFRA_PS_6EV18",0.0002169,111.709,0.427,161.071,11.821,0.238,"C2","CW"
"3","11",11,"OFRA_PS_6EV18",0.115,148.058,0,206,0,0,"C2","A"
"4","12",12,"OFRA_PS_6EV18",0.057,132.668,0,204,0,0,"C2","CA"
"5","13",13,"OFRA_PS_6EV18",0.0004511,183.535,2.995,221.137,-88.334,0.498,"C3","H"
"6","14",14,"OFRA_PS_6EV18",0.0002849,132.609,0.333,195.051,-95.284,0.314,"C3","CH"
"7","15",15,"OFRA_PS_6EV18",0.0003856,179.683,0.322,225.974,-0.244,0.425,"C3","W"
"8","16",16,"OFRA_PS_6EV18",0.0002235,177.801,138.942,215.612,9.324,0.246,"C3","CW"
"9","17",17,"OFRA_PS_6EV18",0.158,193.112,0,241,0,0,"C3","A"
"10","18",18,"OFRA_PS_6EV18",0.064,170.579,0,234,0,0,"C3","CA"
"11","19",19,"OFRA_PS_6EV18",0.0004331,173.315,0.333,221.351,-90.217,0.478,"C4","H"
"12","2",2,"OFRA_PS_6EV18",0.0001654,133.993,0.333,204,-99.462,0.182,"C1","CH"
"13","20",20,"OFRA_PS_6EV18",0.0002824,118.941,0.116,190.38,-91.332,0.311,"C4","CH"
"14","21",21,"OFRA_PS_6EV18",0.0003447,182.43,107.648,217.752,0.273,0.38,"C4","W"
"15","22",22,"OFRA_PS_6EV18",0.0002137,166.446,0.038,212.667,6.194,0.235,"C4","CW"
"16","23",23,"OFRA_PS_6EV18",0.129,187.584,0,229,0,0,"C4","A"
"17","24",24,"OFRA_PS_6EV18",0.068,173.474,0,229,0,0,"C4","CA"
"18","25",25,"OFRA_PS_6EV18",0.0003979,143.361,0.523,188.575,-103.464,0.439,"C5","H"
"19","26",26,"OFRA_PS_6EV18",0.0002587,107.148,0.032,173.607,-97.667,0.285,"C5","CH"
"20","27",27,"OFRA_PS_6EV18",0.0002964,164.002,1.144,204.561,-6.042,0.327,"C5","W"
"21","28",28,"OFRA_PS_6EV18",0.0001981,150.063,83.746,207.583,-4.764,0.218,"C5","CW"
"22","29",29,"OFRA_PS_6EV18",0.125,164.615,0,216,0,0,"C5","A"
"23","3",3,"OFRA_PS_6EV18",0.0003741,181.093,0,216.07,-1.131,0.413,"C1","W"
"24","30",30,"OFRA_PS_6EV18",0.06,147.526,0,213,0,0,"C5","CA"
"25","4",4,"OFRA_PS_6EV18",0.0002055,137.447,0.333,206.667,6.189,0.227,"C1","CW"
"26","5",5,"OFRA_PS_6EV18",0.077,189.611,0,232,0,0,"C1","A"
"27","6",6,"OFRA_PS_6EV18",0.038,171.592,0,227,0,0,"C1","CA"
"28","7",7,"OFRA_PS_6EV18",0.000361,128.216,0.459,178.445,-91.822,0.398,"C2","H"
"29","8",8,"OFRA_PS_6EV18",0.0002325,93.132,0.666,131.324,-94.865,0.256,"C2","CH"
"30","9",9,"OFRA_PS_6EV18",0.0003545,138.376,0.923,184.537,0.265,0.391,"C2","W"
