"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PP_9CX5_P2.JPG",0.0004772,163.202,97.797,215.621,-94.733,0.474,"C1","H"
"2","10","OFRA_PP_9CX5_P2.JPG",0.0002497,130.609,1.718,186,4.879,0.248,"C2","CW"
"3","11","OFRA_PP_9CX5_P2.JPG",0.177,175.964,0,240,0,0,"C2","A"
"4","12","OFRA_PP_9CX5_P2.JPG",0.063,146.474,0,239,0,0,"C2","CA"
"5","13","OFRA_PP_9CX5_P2.JPG",0.0004681,143.878,0.013,211.964,-95.194,0.465,"C3","H"
"6","14","OFRA_PP_9CX5_P2.JPG",0.0002889,146.228,0.943,198.809,-93.614,0.287,"C3","CH"
"7","15","OFRA_PP_9CX5_P2.JPG",0.0003745,161.733,2.118,209.624,6.033,0.372,"C3","W"
"8","16","OFRA_PP_9CX5_P2.JPG",0.0002537,131.84,0.216,181.697,6.87,0.252,"C3","CW"
"9","17","OFRA_PP_9CX5_P2.JPG",0.19,183.406,0,235,0,0,"C3","A"
"10","18","OFRA_PP_9CX5_P2.JPG",0.061,153.776,0,217,0,0,"C3","CA"
"11","19","OFRA_PP_9CX5_P2.JPG",0.0005285,158.998,47.196,212.613,-95.58,0.526,"C4","H"
"12","2","OFRA_PP_9CX5_P2.JPG",0.0002607,145.618,103.38,193.302,-92.663,0.259,"C1","CH"
"13","20","OFRA_PP_9CX5_P2.JPG",0.0003181,146.7,93.397,186.489,-92.182,0.316,"C4","CH"
"14","21","OFRA_PP_9CX5_P2.JPG",0.0004752,152.41,0.134,209.376,6.944,0.473,"C4","W"
"15","22","OFRA_PP_9CX5_P2.JPG",0.0002738,144.304,0.333,190.356,4.447,0.272,"C4","CW"
"16","23","OFRA_PP_9CX5_P2.JPG",0.218,179.295,0,249,0,0,"C4","A"
"17","24","OFRA_PP_9CX5_P2.JPG",0.07,146.953,0,210,0,0,"C4","CA"
"18","25","OFRA_PP_9CX5_P2.JPG",0.0004641,150.916,0.262,213.607,-94.485,0.462,"C5","H"
"19","26","OFRA_PP_9CX5_P2.JPG",0.0002889,133.184,6.7,185,-99.067,0.287,"C5","CH"
"20","27","OFRA_PP_9CX5_P2.JPG",0.0004671,166.808,103.215,233.217,10.072,0.465,"C5","W"
"21","28","OFRA_PP_9CX5_P2.JPG",0.0002305,130.498,1.132,186.974,3.764,0.229,"C5","CW"
"22","29","OFRA_PP_9CX5_P2.JPG",0.183,177.638,0,243,0,0,"C5","A"
"23","3","OFRA_PP_9CX5_P2.JPG",0.0004389,170.414,0,208.713,1.975,0.437,"C1","W"
"24","30","OFRA_PP_9CX5_P2.JPG",0.059,147.8,0,236,0,0,"C5","CA"
"25","4","OFRA_PP_9CX5_P2.JPG",0.0002517,151.707,0,196.241,1.38,0.25,"C1","CW"
"26","5","OFRA_PP_9CX5_P2.JPG",0.183,182.441,0,238,0,0,"C1","A"
"27","6","OFRA_PP_9CX5_P2.JPG",0.059,159.917,0,238,0,0,"C1","CA"
"28","7","OFRA_PP_9CX5_P2.JPG",0.0005235,172.56,103.86,217.521,-95.974,0.521,"C2","H"
"29","8","OFRA_PP_9CX5_P2.JPG",0.000304,130.738,0.181,208.95,-99.181,0.302,"C2","CH"
"30","9","OFRA_PP_9CX5_P2.JPG",0.0003725,159.646,2.184,213.545,7.472,0.37,"C2","W"
