"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_8CX24",0.0003433,125.179,71.668,160.833,-73.657,0.377,"C1","H"
"2","10",10,"OFRA_PS_8CX24",0.0002429,85.23,40.864,127.269,-0.585,0.267,"C2","CW"
"3","11",11,"OFRA_PS_8CX24",0.128,93.972,0,152,0,0,"C2","A"
"4","12",12,"OFRA_PS_8CX24",0.065,80.234,0,141,0,0,"C2","CA"
"5","13",13,"OFRA_PS_8CX24",0.000345,105.22,0.65,174.557,-85.885,0.379,"C3","H"
"6","14",14,"OFRA_PS_8CX24",0.0001984,89.968,43.021,142.333,-90.716,0.218,"C3","CH"
"7","15",15,"OFRA_PS_8CX24",0.0004232,108.154,0,142,-1.675,0.466,"C3","W"
"8","16",16,"OFRA_PS_8CX24",0.0002223,93.523,36.155,151.047,7.046,0.244,"C3","CW"
"9","17",17,"OFRA_PS_8CX24",0.135,113.212,0,179,0,0,"C3","A"
"10","18",18,"OFRA_PS_8CX24",0.061,105.807,0,179,0,0,"C3","CA"
"11","19",19,"OFRA_PS_8CX24",0.0002972,101.147,0,147.833,-87.138,0.327,"C4","H"
"12","2",2,"OFRA_PS_8CX24",0.0001984,122.21,23.667,159,-90,0.218,"C1","CH"
"13","20",20,"OFRA_PS_8CX24",0.0002157,94.842,41.379,150.621,-87.368,0.237,"C4","CH"
"14","21",21,"OFRA_PS_8CX24",0.0004215,115.187,0.411,147.641,4.038,0.464,"C4","W"
"15","22",22,"OFRA_PS_8CX24",0.0001935,92.988,0.684,138.803,9.583,0.213,"C4","CW"
"16","23",23,"OFRA_PS_8CX24",0.118,116.161,0,162,0,0,"C4","A"
"17","24",24,"OFRA_PS_8CX24",0.049,105.074,0,162,0,0,"C4","CA"
"18","25",25,"OFRA_PS_8CX24",0.0003738,92.088,52.667,117.371,-87.725,0.411,"C5","H"
"19","26",26,"OFRA_PS_8CX24",0.0002478,81.978,54.047,104,-91.718,0.272,"C5","CH"
"20","27",27,"OFRA_PS_8CX24",0.0004207,86.039,0.059,133.98,1.685,0.463,"C5","W"
"21","28",28,"OFRA_PS_8CX24",0.0002231,77.524,43.193,109.444,-1.273,0.245,"C5","CW"
"22","29",29,"OFRA_PS_8CX24",0.157,100.899,0,144,0,0,"C5","A"
"23","3",3,"OFRA_PS_8CX24",0.0003359,129.803,0.853,154.192,-11.061,0.369,"C1","W"
"24","30",30,"OFRA_PS_8CX24",0.061,81.377,0,134,0,0,"C5","CA"
"25","4",4,"OFRA_PS_8CX24",0.0001861,110.36,0.333,144.333,0.764,0.204,"C1","CW"
"26","5",5,"OFRA_PS_8CX24",0.114,133.424,0,175,0,0,"C1","A"
"27","6",6,"OFRA_PS_8CX24",0.046,121.217,0,175,0,0,"C1","CA"
"28","7",7,"OFRA_PS_8CX24",0.0003581,86.066,0.178,123.479,-95.553,0.394,"C2","H"
"29","8",8,"OFRA_PS_8CX24",0.0002355,69.666,31.386,117.046,-88.794,0.259,"C2","CH"
"30","9",9,"OFRA_PS_8CX24",0.000424,89.181,0.43,128.914,-3.013,0.466,"C2","W"
