"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFRA_PS_9CX5.JPG",0.0003179,174.957,89.611,208.907,-90.712,0.319,"C1","H"
"2","10","OFRA_PS_9CX5.JPG",0.0002047,183.546,0.964,216.691,6.096,0.206,"C2","CW"
"3","11","OFRA_PS_9CX5.JPG",0.114,201.123,0,225,0,0,"C2","A"
"4","12","OFRA_PS_9CX5.JPG",0.031,187.382,0,222,0,0,"C2","CA"
"5","13","OFRA_PS_9CX5.JPG",0.0003779,184.874,0.424,225.475,-92.997,0.379,"C3","H"
"6","14","OFRA_PS_9CX5.JPG",0.0002273,192.85,0.333,224.603,-88.008,0.228,"C3","CH"
"7","15","OFRA_PS_9CX5.JPG",0.000372,206.162,1.065,224.165,7.313,0.374,"C3","W"
"8","16","OFRA_PS_9CX5.JPG",0.0001958,197.069,0.469,230.364,7.556,0.196,"C3","CW"
"9","17","OFRA_PS_9CX5.JPG",0.078,209.673,0,243,0,0,"C3","A"
"10","18","OFRA_PS_9CX5.JPG",0.044,205.246,0,235,0,0,"C3","CA"
"11","19","OFRA_PS_9CX5.JPG",0.0003681,167.973,0,214,-97.696,0.37,"C4","H"
"12","2","OFRA_PS_9CX5.JPG",0.0001762,143.286,0.172,198.627,-97.765,0.176,"C1","CH"
"13","20","OFRA_PS_9CX5.JPG",0.0002155,176.992,128.398,203.22,-98.427,0.217,"C4","CH"
"14","21","OFRA_PS_9CX5.JPG",0.0004006,189.964,0,216.253,-0.847,0.403,"C4","W"
"15","22","OFRA_PS_9CX5.JPG",0.000186,181.494,0,219.273,3.045,0.187,"C4","CW"
"16","23","OFRA_PS_9CX5.JPG",0.105,196.575,0,222,0,0,"C4","A"
"17","24","OFRA_PS_9CX5.JPG",0.044,187.207,0,222,0,0,"C4","CA"
"18","25","OFRA_PS_9CX5.JPG",0.000432,193.141,0,221.196,-91.569,0.435,"C5","H"
"19","26","OFRA_PS_9CX5.JPG",0.0002706,193.866,54.661,222.604,-105.658,0.272,"C5","CH"
"20","27","OFRA_PS_9CX5.JPG",0.0004793,195.94,0.165,226.012,1.886,0.482,"C5","W"
"21","28","OFRA_PS_9CX5.JPG",0.0002313,193.975,0.232,228.498,7.853,0.232,"C5","CW"
"22","29","OFRA_PS_9CX5.JPG",0.184,199.751,0,233,0,0,"C5","A"
"23","3","OFRA_PS_9CX5.JPG",0.000312,182.388,0.612,209.869,2.175,0.314,"C1","W"
"24","30","OFRA_PS_9CX5.JPG",0.047,199.701,0,233,0,0,"C5","CA"
"25","4","OFRA_PS_9CX5.JPG",0.0002037,160.646,0.039,202.667,3.334,0.205,"C1","CW"
"26","5","OFRA_PS_9CX5.JPG",0.091,185.807,0,228,0,0,"C1","A"
"27","6","OFRA_PS_9CX5.JPG",0.034,170.643,0,219,0,0,"C1","CA"
"28","7","OFRA_PS_9CX5.JPG",0.0003868,190.26,0.245,220.344,-90.585,0.389,"C2","H"
"29","8","OFRA_PS_9CX5.JPG",0.0001958,180.903,0.909,211.576,-85.956,0.197,"C2","CH"
"30","9","OFRA_PS_9CX5.JPG",0.0003819,196.53,1.919,216.987,3.853,0.384,"C2","W"
