"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_OCX5",0.0003397,109.824,65.996,138.623,-97.633,0.364,"C1","H"
"2","10",10,"OFRA_PS_OCX5",0.0001881,117.534,0.333,153.833,3.18,0.201,"C2","CW"
"3","11",11,"OFRA_PS_OCX5",0.133,136.412,0,170,0,0,"C2","A"
"4","12",12,"OFRA_PS_OCX5",0.038,123.979,0,170,0,0,"C2","CA"
"5","13",13,"OFRA_PS_OCX5",0.0003735,151.201,0.632,195.043,-85.192,0.4,"C3","H"
"6","14",14,"OFRA_PS_OCX5",0.0001846,123.854,64.667,158.333,-90,0.197,"C3","CH"
"7","15",15,"OFRA_PS_OCX5",0.000468,137.545,0.661,170.537,5.964,0.502,"C3","W"
"8","16",16,"OFRA_PS_OCX5",0.0001985,120.077,68,178.333,10.125,0.212,"C3","CW"
"9","17",17,"OFRA_PS_OCX5",0.147,147.334,0,197,0,0,"C3","A"
"10","18",18,"OFRA_PS_OCX5",0.043,131.249,0,196,0,0,"C3","CA"
"11","19",19,"OFRA_PS_OCX5",0.0003163,119.683,0,152.667,-92.517,0.339,"C4","H"
"12","2",2,"OFRA_PS_OCX5",0.0001829,100.969,8.534,134.209,-97.667,0.195,"C1","CH"
"13","20",20,"OFRA_PS_OCX5",0.0001915,102.113,0.333,132.667,-90,0.205,"C4","CH"
"14","21",21,"OFRA_PS_OCX5",0.0004013,107.886,0.014,135.778,5.957,0.431,"C4","W"
"15","22",22,"OFRA_PS_OCX5",0.0002357,106.598,1,131.064,8.489,0.252,"C4","CW"
"16","23",23,"OFRA_PS_OCX5",0.119,123.853,0,158,0,0,"C4","A"
"17","24",24,"OFRA_PS_OCX5",0.04,111.882,0,158,0,0,"C4","CA"
"18","25",25,"OFRA_PS_OCX5",0.0003614,172.091,0.679,200.236,-82.26,0.387,"C5","H"
"19","26",26,"OFRA_PS_OCX5",0.0001543,150.863,0.082,188,-71.565,0.165,"C5","CH"
"20","27",27,"OFRA_PS_OCX5",0.000403,160.519,1.165,197.207,12.958,0.432,"C5","W"
"21","28",28,"OFRA_PS_OCX5",0.0001993,130.886,0.038,181.623,12.095,0.213,"C5","CW"
"22","29",29,"OFRA_PS_OCX5",0.116,173.685,0,217,0,0,"C5","A"
"23","3",3,"OFRA_PS_OCX5",0.000462,114.592,0,140.667,1.723,0.495,"C1","W"
"24","30",30,"OFRA_PS_OCX5",0.034,153.072,0,217,0,0,"C5","CA"
"25","4",4,"OFRA_PS_OCX5",0.0002149,99.835,0,123.97,14.036,0.23,"C1","CW"
"26","5",5,"OFRA_PS_OCX5",0.121,117.175,0,157,0,0,"C1","A"
"27","6",6,"OFRA_PS_OCX5",0.042,105.213,0,157,0,0,"C1","CA"
"28","7",7,"OFRA_PS_OCX5",0.0003614,132.611,87.987,158.923,-91.102,0.387,"C2","H"
"29","8",8,"OFRA_PS_OCX5",0.0001751,109.779,0.403,154.765,-95.711,0.187,"C2","CH"
"30","9",9,"OFRA_PS_OCX5",0.0004481,124.702,0.721,153.574,1.332,0.481,"C2","W"
