"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_OGT3",0.0003527,164.958,114.467,188.157,-79.007,0.387,"C1","H"
"2","10",10,"OFRA_PS_OGT3",0.0001085,113.787,1.649,140.276,6.633,0.118,"C2","CW"
"3","11",11,"OFRA_PS_OGT3",0.049,128.222,0,169,0,0,"C2","A"
"4","12",12,"OFRA_PS_OGT3",0.018,114.098,0,164,0,0,"C2","CA"
"5","13",13,"OFRA_PS_OGT3",0.0003196,129.743,1.686,170.691,-85.533,0.35,"C3","H"
"6","14",14,"OFRA_PS_OGT3",0.0001747,124.348,47.663,163.216,-76.759,0.191,"C3","CH"
"7","15",15,"OFRA_PS_OGT3",0.0003477,151.839,0.785,185.085,4.934,0.381,"C3","W"
"8","16",16,"OFRA_PS_OGT3",0.0001623,122.864,0.062,165.518,1.762,0.178,"C3","CW"
"9","17",17,"OFRA_PS_OGT3",0.105,143.929,0,191,0,0,"C3","A"
"10","18",18,"OFRA_PS_OGT3",0.043,136.401,0,191,0,0,"C3","CA"
"11","19",19,"OFRA_PS_OGT3",0.000298,136.184,0.156,176.93,-84.242,0.326,"C4","H"
"12","2",2,"OFRA_PS_OGT3",0.0002119,123.174,0.49,177.115,-70.074,0.232,"C1","CH"
"13","20",20,"OFRA_PS_OGT3",0.0001349,109.328,0,170.333,-94.236,0.148,"C4","CH"
"14","21",21,"OFRA_PS_OGT3",0.0003212,150.8,0,188.76,-2.22,0.352,"C4","W"
"15","22",22,"OFRA_PS_OGT3",0.0001474,122.871,0,174.542,2.911,0.161,"C4","CW"
"16","23",23,"OFRA_PS_OGT3",0.079,148.174,0,195,0,0,"C4","A"
"17","24",24,"OFRA_PS_OGT3",0.034,140.937,0,195,0,0,"C4","CA"
"18","25",25,"OFRA_PS_OGT3",0.0003999,156.496,5.243,193.278,-107.382,0.439,"C5","H"
"19","26",26,"OFRA_PS_OGT3",0.0001838,111.903,0.692,181.905,-94.677,0.201,"C5","CH"
"20","27",27,"OFRA_PS_OGT3",0.0003792,145.612,0.233,188.659,12.393,0.415,"C5","W"
"21","28",28,"OFRA_PS_OGT3",0.0001979,132.474,0.424,185.851,18.13,0.216,"C5","CW"
"22","29",29,"OFRA_PS_OGT3",0.125,151.537,0,200,0,0,"C5","A"
"23","3",3,"OFRA_PS_OGT3",0.0004396,161.321,0.48,188.504,14.43,0.482,"C1","W"
"24","30",30,"OFRA_PS_OGT3",0.055,143.506,0,200,0,0,"C5","CA"
"25","4",4,"OFRA_PS_OGT3",0.0001896,139.346,0.649,172.649,9.09,0.207,"C1","CW"
"26","5",5,"OFRA_PS_OGT3",0.134,162.449,0,198,0,0,"C1","A"
"27","6",6,"OFRA_PS_OGT3",0.046,152.226,0,194,0,0,"C1","CA"
"28","7",7,"OFRA_PS_OGT3",0.0002368,123.106,0,160,-90,0.259,"C2","H"
"29","8",8,"OFRA_PS_OGT3",0.0001325,103.393,0,145.346,-88.919,0.145,"C2","CH"
"30","9",9,"OFRA_PS_OGT3",0.0001979,122.854,2.202,160.667,5.782,0.217,"C2","W"
