"","Row.names","X","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1",1,"OFRA_PS_OGT5_P1",0.0004259,180.073,0.398,229.229,-83.454,0.457,"C1","H"
"2","10",10,"OFRA_PS_OGT5_P1",0.0001575,143.302,1.415,213.641,4.764,0.168,"C2","CW"
"3","11",11,"OFRA_PS_OGT5_P1",0.102,195.13,0,238,0,0,"C2","A"
"4","12",12,"OFRA_PS_OGT5_P1",0.043,172.434,0,227,0,0,"C2","CA"
"5","13",13,"OFRA_PS_OGT5_P1",0.0003913,188.682,1.517,232.396,-76.149,0.42,"C3","H"
"6","14",14,"OFRA_PS_OGT5_P1",0.0002268,152.567,122.801,216.333,-77.4,0.243,"C3","CH"
"7","15",15,"OFRA_PS_OGT5_P1",0.0003514,184.204,0.667,233.993,1.273,0.377,"C3","W"
"8","16",16,"OFRA_PS_OGT5_P1",0.0001627,161.385,2.32,227.132,12.031,0.174,"C3","CW"
"9","17",17,"OFRA_PS_OGT5_P1",0.125,192.302,0,236,0,0,"C3","A"
"10","18",18,"OFRA_PS_OGT5_P1",0.05,178.132,0,231,0,0,"C3","CA"
"11","19",19,"OFRA_PS_OGT5_P1",0.0004025,155.075,65.869,216.747,-78.302,0.431,"C4","H"
"12","2",2,"OFRA_PS_OGT5_P1",0.0002528,172.945,122.836,217.473,-82.093,0.271,"C1","CH"
"13","20",20,"OFRA_PS_OGT5_P1",0.0002329,124.025,0.724,198.463,-70.346,0.249,"C4","CH"
"14","21",21,"OFRA_PS_OGT5_P1",0.000457,166.421,1.141,205.333,2.83,0.49,"C4","W"
"15","22",22,"OFRA_PS_OGT5_P1",0.0001826,97.616,0.057,184.333,0.546,0.195,"C4","CW"
"16","23",23,"OFRA_PS_OGT5_P1",0.13,176.202,0,222,0,0,"C4","A"
"17","24",24,"OFRA_PS_OGT5_P1",0.047,154.111,0,215,0,0,"C4","CA"
"18","25",25,"OFRA_PS_OGT5_P1",0.0003151,147.628,0.761,198,-82.249,0.338,"C5","H"
"19","26",26,"OFRA_PS_OGT5_P1",0.0001688,150.927,0.567,194.326,-79.616,0.181,"C5","CH"
"20","27",27,"OFRA_PS_OGT5_P1",0.0004034,164.289,0.422,210.796,2.715,0.432,"C5","W"
"21","28",28,"OFRA_PS_OGT5_P1",0.0001411,137.286,0.333,180.34,1.768,0.151,"C5","CW"
"22","29",29,"OFRA_PS_OGT5_P1",0.129,181.103,0,232,0,0,"C5","A"
"23","3",3,"OFRA_PS_OGT5_P1",0.0003965,195.92,115.361,233,4.514,0.426,"C1","W"
"24","30",30,"OFRA_PS_OGT5_P1",0.036,166.332,0,228,0,0,"C5","CA"
"25","4",4,"OFRA_PS_OGT5_P1",0.0002121,176.91,0,228.356,14.265,0.227,"C1","CW"
"26","5",5,"OFRA_PS_OGT5_P1",0.16,200.458,0,241,0,0,"C1","A"
"27","6",6,"OFRA_PS_OGT5_P1",0.064,187.066,0,241,0,0,"C1","CA"
"28","7",7,"OFRA_PS_OGT5_P1",0.0003099,173.977,0.429,223.333,-71.87,0.332,"C2","H"
"29","8",8,"OFRA_PS_OGT5_P1",0.0001982,134.839,0.061,214,-88.493,0.212,"C2","CH"
"30","9",9,"OFRA_PS_OGT5_P1",0.0003965,177.443,0.603,225.576,-3.013,0.425,"C2","W"
