"","Row.names","Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"1","1","OFAV_SP_2JQ31_P1",0.0003202,133.17,0.695,176.192,-77.276,0.349,"C1","H"
"2","10","OFAV_SP_2JQ31_P1",0.000202,134.329,0,203.667,0,0.22,"C2","CW"
"3","11","OFAV_SP_2JQ31_P1",0.122,150.05,0,207,0,0,"C2","A"
"4","12","OFAV_SP_2JQ31_P1",0.055,144.464,0,207,0,0,"C2","CA"
"5","13","OFAV_SP_2JQ31_P1",0.0003286,129.361,0.218,180.873,-85.163,0.358,"C3","H"
"6","14","OFAV_SP_2JQ31_P1",0.0002255,111.27,0.259,173.564,-86.143,0.245,"C3","CH"
"7","15","OFAV_SP_2JQ31_P1",0.0004082,117.995,0.333,166.333,-1.768,0.445,"C3","W"
"8","16","OFAV_SP_2JQ31_P1",0.0002448,117.493,2,182.333,0,0.266,"C3","CW"
"9","17","OFAV_SP_2JQ31_P1",0.128,134.386,0,204,0,0,"C3","A"
"10","18","OFAV_SP_2JQ31_P1",0.059,125.661,0,201,0,0,"C3","CA"
"11","19","OFAV_SP_2JQ31_P1",0.0003403,132.809,0.589,177.166,-79.771,0.371,"C4","H"
"12","2","OFAV_SP_2JQ31_P1",0.000233,136.384,0.871,178.259,-93.731,0.253,"C1","CH"
"13","20","OFAV_SP_2JQ31_P1",0.0002808,116.342,1.166,181.643,-81.215,0.306,"C4","CH"
"14","21","OFAV_SP_2JQ31_P1",0.0004023,122.671,0.371,184.037,5.746,0.439,"C4","W"
"15","22","OFAV_SP_2JQ31_P1",0.0002875,137.677,0.333,183.605,-0.503,0.313,"C4","CW"
"16","23","OFAV_SP_2JQ31_P1",0.142,135.827,0,196,0,0,"C4","A"
"17","24","OFAV_SP_2JQ31_P1",0.067,126.967,0,196,0,0,"C4","CA"
"18","25","OFAV_SP_2JQ31_P1",0.0003462,167.063,79.223,197.592,-82.461,0.377,"C5","H"
"19","26","OFAV_SP_2JQ31_P1",0.0002196,135.73,91.813,197.184,-81.404,0.239,"C5","CH"
"20","27","OFAV_SP_2JQ31_P1",0.000409,143.106,0.223,201.008,7.431,0.446,"C5","W"
"21","28","OFAV_SP_2JQ31_P1",0.0002473,134.33,1.667,197.803,2.337,0.269,"C5","CW"
"22","29","OFAV_SP_2JQ31_P1",0.127,150.853,0,210,0,0,"C5","A"
"23","3","OFAV_SP_2JQ31_P1",0.0003613,142.066,0.263,175.813,3.601,0.394,"C1","W"
"24","30","OFAV_SP_2JQ31_P1",0.065,144.872,0,210,0,0,"C5","CA"
"25","4","OFAV_SP_2JQ31_P1",0.0002414,125.686,0.369,170.085,7.199,0.263,"C1","CW"
"26","5","OFAV_SP_2JQ31_P1",0.114,133.264,0,192,0,0,"C1","A"
"27","6","OFAV_SP_2JQ31_P1",0.059,127.793,0,192,0,0,"C1","CA"
"28","7","OFAV_SP_2JQ31_P1",0.0002976,138.407,0.011,191.91,-92.426,0.324,"C2","H"
"29","8","OFAV_SP_2JQ31_P1",0.0002079,116.08,0.354,186.376,-99.806,0.226,"C2","CH"
"30","9","OFAV_SP_2JQ31_P1",0.0004082,159.548,0.705,206.957,6.379,0.445,"C2","W"
