,X.1,Row.names,X,Label,Area,Mean,Min,Max,Angle,Length,CALICE,MEASUREMENT
1,1,1,1,IMG_3872,0.0002637,141.223,15.004,180.59,-71.139,0.367,C1,H
2,2,10,10,IMG_3872,0.0002188,124.217,1.838,156.554,6.923,0.304,C2,CW
3,3,11,11,IMG_3872,0.122,137.723,0,183,-87.169,0.393,C2,A
4,4,12,12,IMG_3872,0.068,126.689,0,183,-93.483,0.248,C2,CA
5,5,13,13,IMG_3872,0.0002699,142.639,0.312,189.448,-84.06,0.375,C3,H
6,6,14,14,IMG_3872,0.0001698,112.102,1.01,180.333,-81.573,0.235,C3,CH
7,7,15,15,IMG_3872,0.0003582,146.969,0,190,0.744,0.498,C3,W
8,8,16,16,IMG_3872,0.0002162,146.282,1.137,185.054,3.705,0.3,C3,CW
9,9,17,17,IMG_3872,0.143,158.86,0,199,0,0,C3,A
10,10,18,18,IMG_3872,0.056,132.065,0,199,0,0,C3,CA
11,11,19,19,IMG_3872,0.0002359,145.281,0.333,185.478,-87.739,0.328,C4,H
12,12,2,2,IMG_3872,0.0001817,123.054,1.931,170.333,-97.368,0.252,C1,CH
13,13,20,20,IMG_3872,0.0001832,131.38,36.314,184.297,-91.456,0.254,C4,CH
14,14,21,21,IMG_3872,0.0003566,136.684,0.081,183.17,-0.747,0.496,C4,W
15,15,22,22,IMG_3872,0.0002137,140.183,92.919,173.931,5.006,0.296,C4,CW
16,16,23,23,IMG_3872,0.122,149.367,0,188,0,0,C4,A
17,17,24,24,IMG_3872,0.06,135.604,0,188,0,0,C4,CA
18,18,25,25,IMG_3872,0.0002854,140.348,38.432,182.105,-94.367,0.396,C5,H
19,19,26,26,IMG_3872,0.0002013,100.028,0.203,157.843,-94.421,0.28,C5,CH
20,20,27,27,IMG_3872,0.0003721,142.205,0.667,184,1.591,0.517,C5,W
21,21,28,28,IMG_3872,0.0002266,106.422,0.088,155.968,4.981,0.314,C5,CW
22,22,29,29,IMG_3872,0.147,146.086,0,195,0,0,C5,A
23,23,3,3,IMG_3872,0.099,144.39,0,192,0,0,C1,W
